{NUMBER OF COLUMNS}       5
*
* SHOTS  =   25028
* TIMES  =     0.300000 to     0.324000 s
* SMOOTH =       8
* SAMPLE =       5
*
*       PSIn           r           z        dens          Te
*                    (m)         (m)       (m-3)        (eV)
{DATA LIST}
    1.029805    0.395850    0.000000    6.86E+18        7.04
    1.045395    0.382090    0.000000    6.78E+18        5.00
    1.059955    0.376025    0.000000    6.89E+18        3.00
    1.073548    0.369479    0.000000    7.41E+18        1.00
    1.085970    0.355569    0.000000    7.70E+18        1.00
    1.096660    0.356111    0.000000    7.99E+18        1.00
    1.103709    0.348264    0.000000    7.76E+18        1.00
    1.115778    0.334901    0.000000    7.46E+18        1.00
    1.126811    0.332916    0.000000    7.60E+18        1.00
    1.137501    0.322386    0.000000    7.91E+18        1.00
    1.147346    0.310617    0.000000    8.08E+18        1.00
    1.156077    0.312484    0.000000    8.41E+18        1.00
    1.162575    0.304147    0.000000    8.60E+18        1.00
    1.172408    0.290505    0.000000    8.09E+18        1.00
    1.181054    0.287222    0.000000    8.16E+18        1.00
    1.184436    0.279477    0.000000    8.45E+18        1.00
    1.198106    0.276944    0.000000    7.47E+18        1.00
{END}

* ring 17, 3 cm above ISP, psn_n = 1.0351, Te = 3 eV from CIII
* ring 20, 5 cm above ISP, psi_n = 1.0585, Te = 1 eV from CII
*
