%    m	   m	 n/a	 n/a	  eV	  eV
%  XTIC	 RMDE	 RHOE	 PSIE	  TIC	 DTIC
  3.070E+00	 3.072E+00	 3.573E-02	 1.236E-03	 3.477E+00	 1.540E-01
  3.071E+00	 3.072E+00	 3.607E-02	 1.251E-03	 3.772E+00	 1.549E-01
  3.071E+00	 3.072E+00	 3.614E-02	 1.254E-03	 3.866E+00	 1.869E-01
  3.071E+00	 3.072E+00	 3.620E-02	 1.257E-03	 4.013E+00	 2.061E-01
  3.071E+00	 3.072E+00	 3.628E-02	 1.261E-03	 3.735E+00	 1.360E-01
  3.071E+00	 3.072E+00	 3.661E-02	 1.276E-03	 3.908E+00	 1.876E-01
  3.071E+00	 3.072E+00	 3.672E-02	 1.281E-03	 3.827E+00	 1.365E-01
  3.071E+00	 3.073E+00	 3.747E-02	 1.316E-03	 4.039E+00	 1.782E-01
  3.071E+00	 3.073E+00	 3.756E-02	 1.320E-03	 3.707E+00	 1.557E-01
  3.072E+00	 3.073E+00	 3.792E-02	 1.337E-03	 3.617E+00	 1.410E-01
  3.072E+00	 3.073E+00	 3.795E-02	 1.339E-03	 3.607E+00	 1.406E-01
  3.072E+00	 3.073E+00	 3.801E-02	 1.341E-03	 3.813E+00	 1.530E-01
  3.072E+00	 3.074E+00	 3.871E-02	 1.375E-03	 4.098E+00	 1.725E-01
  3.072E+00	 3.074E+00	 3.912E-02	 1.396E-03	 3.786E+00	 1.393E-01
  3.072E+00	 3.075E+00	 3.981E-02	 1.430E-03	 3.734E+00	 1.654E-01
  3.073E+00	 3.075E+00	 4.038E-02	 1.460E-03	 3.746E+00	 1.484E-01
  3.073E+00	 3.075E+00	 4.044E-02	 1.463E-03	 3.766E+00	 1.483E-01
  3.073E+00	 3.076E+00	 4.072E-02	 1.477E-03	 3.917E+00	 1.569E-01
  3.073E+00	 3.076E+00	 4.160E-02	 1.524E-03	 3.623E+00	 1.344E-01
  3.074E+00	 3.076E+00	 4.179E-02	 1.534E-03	 3.583E+00	 1.499E-01
  3.074E+00	 3.076E+00	 4.181E-02	 1.535E-03	 3.860E+00	 1.588E-01
  3.074E+00	 3.077E+00	 4.277E-02	 1.589E-03	 3.829E+00	 1.483E-01
  3.074E+00	 3.078E+00	 4.342E-02	 1.626E-03	 3.687E+00	 1.536E-01
  3.075E+00	 3.078E+00	 4.376E-02	 1.646E-03	 3.878E+00	 1.426E-01
  3.124E+00	 3.125E+00	 1.030E-01	 1.103E-02	 3.938E+00	 1.703E-01
  3.124E+00	 3.125E+00	 1.038E-01	 1.119E-02	 4.040E+00	 1.678E-01
  3.125E+00	 3.126E+00	 1.038E-01	 1.120E-02	 3.878E+00	 1.663E-01
  3.125E+00	 3.126E+00	 1.043E-01	 1.129E-02	 4.176E+00	 1.778E-01
  3.125E+00	 3.126E+00	 1.043E-01	 1.130E-02	 4.072E+00	 1.701E-01
  3.125E+00	 3.126E+00	 1.044E-01	 1.131E-02	 4.184E+00	 1.570E-01
  3.125E+00	 3.126E+00	 1.046E-01	 1.136E-02	 4.074E+00	 1.741E-01
  3.125E+00	 3.126E+00	 1.047E-01	 1.137E-02	 4.134E+00	 1.754E-01
  3.125E+00	 3.126E+00	 1.047E-01	 1.138E-02	 4.290E+00	 1.895E-01
  3.125E+00	 3.126E+00	 1.050E-01	 1.143E-02	 4.036E+00	 1.649E-01
  3.125E+00	 3.127E+00	 1.051E-01	 1.146E-02	 4.290E+00	 1.752E-01
  3.125E+00	 3.127E+00	 1.051E-01	 1.147E-02	 3.956E+00	 1.714E-01
  3.126E+00	 3.127E+00	 1.053E-01	 1.150E-02	 3.889E+00	 1.551E-01
  3.126E+00	 3.127E+00	 1.058E-01	 1.160E-02	 4.212E+00	 1.631E-01
  3.126E+00	 3.127E+00	 1.059E-01	 1.163E-02	 4.212E+00	 1.835E-01
  3.126E+00	 3.127E+00	 1.060E-01	 1.164E-02	 4.346E+00	 1.687E-01
  3.126E+00	 3.127E+00	 1.062E-01	 1.168E-02	 4.227E+00	 2.088E-01
  3.127E+00	 3.128E+00	 1.068E-01	 1.181E-02	 4.232E+00	 1.650E-01
  3.127E+00	 3.128E+00	 1.069E-01	 1.184E-02	 3.887E+00	 1.535E-01
  3.127E+00	 3.128E+00	 1.071E-01	 1.188E-02	 4.292E+00	 2.246E-01
  3.127E+00	 3.129E+00	 1.078E-01	 1.203E-02	 4.120E+00	 1.851E-01
  3.128E+00	 3.129E+00	 1.083E-01	 1.213E-02	 4.121E+00	 1.573E-01
  3.128E+00	 3.129E+00	 1.084E-01	 1.215E-02	 3.732E+00	 1.598E-01
