{NUMBER OF COLUMNS}  4 
*
*     psin         Jsat          Ne       Te
*  ?     (Amps)   (eV)
{DATA LIST} 
   1.18162   3.3646E+03  8.3685E+17   8.4535
   1.18259   3.3798E+03  8.1337E+17   8.7284
   1.18469   3.5048E+03  8.4501E+17   8.7596
   1.18699   3.4325E+03  8.5534E+17   8.3630
   1.19364   3.3597E+03  8.1794E+17   8.5014
   1.19502   3.1168E+03  6.8452E+17   8.9072
   1.19600   3.0215E+03  6.9354E+17   8.5588
   1.19812   2.2453E+03  6.6315E+17   4.9951
   1.20835   2.5196E+03  7.7025E+17   4.9210
   1.20934   2.6310E+03  8.3960E+17   4.1132
   1.21349   2.6945E+03  8.8158E+17   3.9164
   1.21491   2.5642E+03  8.8641E+17   3.5615
   1.21591   2.3124E+03  8.5396E+17   3.1628
   1.21807   2.3156E+03  8.6012E+17   3.0718
   1.22003   2.3027E+03  9.1397E+17   2.5951
   1.22146   2.4248E+03  9.6535E+17   2.5859
   1.22464   2.7276E+03  1.0590E+18   2.7219
   1.22657   2.4708E+03  9.5982E+17   2.7596
   1.22802   2.5015E+03  9.7725E+17   2.7266
   1.22903   3.0197E+03  1.1979E+18   2.6881
   1.23122   2.7677E+03  1.0914E+18   2.8946
   1.23302   2.7966E+03  1.1230E+18   2.8049
   1.23448   2.6748E+03  1.0782E+18   2.8710
   1.23550   2.5132E+03  1.0079E+18   2.8843
   1.23770   2.2848E+03  8.9963E+17   3.0910
   1.23943   2.0470E+03  7.9724E+17   3.2971
   1.24193   2.2050E+03  8.6269E+17   3.2388
   1.25218   1.9799E+03  7.7498E+17   3.2451
   1.25472   1.2545E+03  4.7641E+17   3.2420
   1.25843   1.2633E+03  4.8015E+17   3.1702
   1.26099   1.2432E+03  4.2414E+17   3.5565
   1.26324   1.3709E+03  4.8215E+17   3.3762
   1.26468   1.4639E+03  5.1530E+17   3.4045
   1.26621   1.5160E+03  5.2342E+17   3.5501
   1.26952   1.4162E+03  5.1685E+17   3.2020
   1.27090   1.3930E+03  5.0911E+17   3.1941
   1.27245   1.5024E+03  5.3591E+17   3.3723
   1.27351   1.4961E+03  5.2598E+17   3.6644
   1.27578   1.7449E+03  5.9755E+17   3.7834
   1.27696   1.7797E+03  6.3934E+17   3.4848
   1.27853   1.7411E+03  5.3176E+17   4.3545
   1.27959   5.1124E+02  1.4576E+17   4.9965
   1.28187   2.5916E+03  7.6226E+17   4.6951
   1.29406   2.4960E+03  9.7884E+17   2.6412
{END}
