{NUMBER OF COLUMNS}       3
*       PSIn        Density         Te
*                    (m-3)         (eV)
{DATA LIST}
    0.924589    1.31E+19       72.71
    0.924687    1.29E+19       68.57
    0.925330    1.28E+19       69.71
    0.927481    1.26E+19       67.22
    0.928476    1.23E+19       64.52
    0.930690    1.22E+19       64.85
    0.931779    1.22E+19       64.94
    0.932180    1.21E+19       64.63
    0.932189    1.20E+19       64.10
    0.932287    1.19E+19       63.37
    0.932619    1.18E+19       64.51
    0.933200    1.17E+19       64.57
    0.933426    1.17E+19       64.46
    0.933439    1.16E+19       64.44
    0.933712    1.15E+19       64.53
    0.934068    1.15E+19       64.45
    0.935270    1.14E+19       63.03
    0.937455    1.14E+19       65.73
    0.938476    1.17E+19       67.62
    0.939559    1.17E+19       66.41
    0.941630    1.18E+19       68.20
    0.941739    1.20E+19       71.28
    0.942953    1.21E+19       73.22
    0.944736    1.20E+19       71.68
    0.946953    1.22E+19       73.24
    0.947901    1.24E+19       74.72
    0.947999    1.24E+19       74.18
    0.949501    1.24E+19       73.01
    0.950571    1.24E+19       71.86
    0.951310    1.24E+19       71.72
    0.953699    1.23E+19       71.43
    0.955691    1.23E+19       69.70
    0.955946    1.22E+19       68.96
    0.956679    1.22E+19       67.95
    0.957015    1.21E+19       67.46
    0.958984    1.21E+19       66.03
    0.959112    1.18E+19       63.19
    0.961905    1.18E+19       63.68
    0.962525    1.14E+19       60.08
    0.962856    1.11E+19       57.64
    0.963920    1.08E+19       54.91
    0.964883    1.07E+19       52.77
    0.965564    1.04E+19       49.51
    0.966072    1.04E+19       49.30
    0.968126    1.04E+19       47.97
    0.968391    1.04E+19       47.53
    0.968466    1.03E+19       47.24
    0.968914    1.03E+19       46.50
    0.968956    1.03E+19       46.93
    0.969421    1.02E+19       46.86
    0.969452    1.03E+19       46.56
    0.969801    1.03E+19       47.79
    0.970180    1.02E+19       47.56
    0.970954    1.02E+19       46.94
    0.971440    1.02E+19       45.53
    0.971935    1.02E+19       44.74
    0.972540    1.02E+19       44.91
    0.972793    1.03E+19       46.20
    0.973680    1.03E+19       46.24
    0.975396    1.06E+19       48.39
    0.976739    1.10E+19       50.83
    0.976826    1.10E+19       51.71
    0.977458    1.10E+19       52.54
    0.978364    1.12E+19       53.66
    0.978454    1.12E+19       53.92
    0.978458    1.11E+19       54.17
    0.980196    1.11E+19       53.58
    0.981325    1.10E+19       52.91
    0.981432    1.10E+19       52.19
    0.982412    1.09E+19       51.37
    0.982868    1.08E+19       50.99
    0.983407    1.07E+19       50.60
    0.983787    1.06E+19       48.15
    0.984422    1.08E+19       48.05
    0.984812    1.07E+19       47.76
    0.985487    1.06E+19       48.37
    0.985793    1.05E+19       47.82
    0.986671    1.04E+19       47.10
    0.988476    1.04E+19       46.68
    0.988509    1.04E+19       45.03
    0.988773    1.03E+19       44.14
    0.988873    1.02E+19       42.97
    0.989801    1.03E+19       42.14
    0.990426    1.03E+19       41.15
    0.991405    1.03E+19       41.10
    0.991560    1.01E+19       39.68
    0.992590    1.01E+19       38.57
    0.993514    9.99E+18       37.72
    0.993523    9.95E+18       36.93
    0.994565    9.93E+18       35.55
    0.995497    1.00E+19       34.09
    0.995998    1.00E+19       33.11
    0.997530    1.01E+19       31.29
    0.998445    1.01E+19       31.77
    0.998446    9.74E+18       29.86
    0.998654    9.54E+18       28.22
    1.000161    9.42E+18       26.27
    1.000523    9.12E+18       25.15
    1.001021    9.28E+18       24.20
    1.001447    9.24E+18       23.27
    1.002741    8.87E+18       22.65
    1.002898    8.67E+18       21.15
    1.003829    8.39E+18       19.81
    1.004625    8.01E+18       19.10
    1.004771    7.73E+18       18.47
    1.004965    7.36E+18       17.09
    1.005435    7.24E+18       10.14
    1.005513    3.02E+18       15.95
    1.005560    1.23E+19       15.96
    1.005914    7.87E+18       12.19
    1.040380    3.25E+18        8.41
    1.040973    7.01E+18       12.30
    1.041069    2.92E+18        8.66
    1.041615    2.73E+18        8.17
    1.076096    3.86E+18        7.08
    1.109693    2.62E+18        7.29
{END}
