{NUMBER OF COLUMNS}  4 
*
*     psin         Jsat          Ne       Te
*  ?     (Amps)   (eV)
{DATA LIST} 
   1.22003   5.6480E+03  1.8845E+18   3.6948
   1.22146   5.2198E+03  1.6823E+18   4.5137
   1.22247   5.2346E+03  1.6715E+18   4.5580
   1.22464   5.0634E+03  1.7445E+18   4.2284
   1.22657   5.3358E+03  2.3166E+18   3.8858
   1.22802   5.4062E+03  2.2263E+18   5.0816
   1.22903   5.5784E+03  2.2021E+18   6.3662
   1.23122   5.3255E+03  2.0631E+18   7.0618
   1.23302   5.3415E+03  2.3463E+18   6.6016
   1.23448   4.7183E+03  2.1351E+18   6.7570
   1.23550   4.7219E+03  2.1351E+18   6.7930
   1.23770   4.4407E+03  1.9661E+18   7.9042
   1.23943   4.3387E+03  1.7772E+18   9.1409
   1.24090   3.6493E+03  1.0500E+18   9.7810
   1.24193   3.1845E+03  9.9065E+17   8.7257
   1.24414   3.0000E+03  9.5999E+17   8.7839
   1.24584   3.0028E+03  1.1325E+18   7.7859
   1.24732   2.9642E+03  8.6926E+17   8.0917
   1.24835   2.8071E+03  8.1814E+17   8.2348
   1.25218   3.0889E+03  8.4979E+17   9.0534
   1.25368   3.0087E+03  8.2681E+17   9.7593
   1.25472   3.0616E+03  8.3745E+17   9.7083
   1.25695   3.6643E+03  1.0653E+18   9.3813
   1.25843   3.6407E+03  1.0593E+18   9.3519
   1.25995   3.8470E+03  1.2353E+18   7.8072
   1.26099   3.7122E+03  1.1070E+18   7.9751
   1.26324   3.5090E+03  1.0068E+18   8.3740
   1.26468   3.3847E+03  9.4708E+17  10.8554
   1.26621   3.1791E+03  9.9327E+17   9.1484
   1.26726   2.9622E+03  1.0081E+18   7.0461
   1.26952   3.0980E+03  1.0390E+18   6.8717
   1.27090   2.4384E+03  7.8840E+17   7.7522
   1.27245   2.4928E+03  8.7192E+17   7.3879
   1.27351   2.0559E+03  6.6295E+17   8.2711
   1.27578   1.9345E+03  5.7466E+17   8.9080
   1.27853   1.8519E+03  5.3291E+17  10.8256
   1.27959   1.7367E+03  5.2636E+17   9.0824
   1.28187   1.5539E+03  4.3279E+17   9.6074
   1.28461   1.6648E+03  4.3101E+17  10.0251
   1.28908   1.4761E+03  3.9659E+17   9.7778
   1.29069   1.1526E+03  1.9859E+17  13.6828
   1.29176   1.1655E+03  2.7501E+17   7.2957
   1.29659   1.5644E+03  4.8158E+17   4.2863
   1.29999   1.3462E+03  3.1492E+17   7.4224
{END}
