    2   24   30    1    2     /HELIUM             /GCR PROJECT      
--------------------------------------------------------------------------------
    2    1    1                                                                 
--------------------------------------------------------------------------------
   7.69897   8.00000   8.30103   8.69897   9.00000   9.30103   9.69897  10.00000
  10.30103  10.69897  11.00000  11.30103  11.69897  12.00000  12.30103  12.69897
  13.00000  13.30103  13.69897  14.00000  14.30103  14.69897  15.00000  15.30103
   -.69877   -.52268   -.30083   -.15470    .00020    .17629    .30123    .47732
    .69917    .84530   1.00020   1.17629   1.30123   1.47732   1.69917   1.84530
   2.00020   2.17629   2.30123   2.47732   2.69917   2.84530   3.00020   3.17629
   3.30123   3.47732   3.69917   3.84530   4.00020   4.17629
---------------------/ IPRT= 1  / IGRD= 1  /--------/ Z1= 1   / DATE= 04/11/99
  -7.59310  -7.59309  -7.59307  -7.59350  -7.59319  -7.59123  -7.58983  -7.59019
  -7.59026  -7.59014  -7.59019  -7.59030  -7.58963  -7.58851  -7.58740  -7.58640
  -7.58441  -7.57956  -7.57207  -7.56564  -7.55630  -7.53832  -7.52179  -7.50486
  -7.57955  -7.57954  -7.57963  -7.58079  -7.57999  -7.57518  -7.57174  -7.57262
  -7.57278  -7.57255  -7.57262  -7.57264  -7.57207  -7.57104  -7.56988  -7.57060
  -7.57039  -7.56578  -7.55947  -7.55518  -7.54783  -7.53261  -7.51844  -7.50391
  -7.57390  -7.57390  -7.57405  -7.57569  -7.57458  -7.56787  -7.56310  -7.56432
  -7.56454  -7.56423  -7.56432  -7.56428  -7.56378  -7.56281  -7.56162  -7.56348
  -7.56442  -7.55998  -7.55445  -7.55157  -7.54552  -7.53212  -7.51951  -7.50657
  -7.56981  -7.56981  -7.57003  -7.57217  -7.57073  -7.56203  -7.55583  -7.55742
  -7.55769  -7.55731  -7.55741  -7.55731  -7.55688  -7.55598  -7.55475  -7.55781
  -7.55999  -7.55572  -7.55102  -7.54963  -7.54497  -7.53350  -7.52253  -7.51127
  -7.56680  -7.56680  -7.56710  -7.56982  -7.56799  -7.55702  -7.54921  -7.55121
  -7.55155  -7.55109  -7.55120  -7.55104  -7.55068  -7.54985  -7.54858  -7.55302
  -7.55660  -7.55253  -7.54876  -7.54907  -7.54599  -7.53670  -7.52761  -7.51826
  -7.56541  -7.56541  -7.56577  -7.56890  -7.56680  -7.55422  -7.54526  -7.54755
  -7.54795  -7.54741  -7.54754  -7.54733  -7.54703  -7.54625  -7.54495  -7.55036
  -7.55494  -7.55100  -7.54790  -7.54942  -7.54745  -7.53972  -7.53196  -7.52396
