* number of heading lines in this data file : 15
* 
* BM 3D coordinates extracted from CASTEM
* Post-proc in Matlab : only reading CASTEM raw data (for checking) and write concatenate ascii files - no modifications of X,Y,Z coordinates
* Date CASTEM calculations : 15/03/2011
* Date Matlab post-processing data : 15/03/2011
* Files can be found in : C:\CASTEM_FW.BM coordinates for Steve. march. 2011 (bis) -  whole column - def
* Modif compared to latest version : - 
* 
* FIRST WALL GEOMETRY:
* Reference design November 2009 - slightly adjusted in January 2010 (CATIA skeleton post-Blanket CDR)
* higher spatial resolution than the one used for previous DIVIMP grid (2010)
* 
* DATA
* nºnode  nºelem  X(m)    Y(m)    Z(m) 
  1.000   1.000   4.542  -0.057   4.597
  2.000   1.000   4.587  -0.065   4.627
  3.000   1.000   4.582  -0.064   4.634
  4.000   1.000   4.537  -0.056   4.604
  5.000   2.000   4.497  -0.049   4.567
  6.000   2.000   4.542  -0.057   4.597
  7.000   2.000   4.537  -0.056   4.604
  8.000   2.000   4.492  -0.048   4.574
  9.000   3.000   4.452  -0.041   4.537
 10.000   3.000   4.497  -0.049   4.567
 11.000   3.000   4.492  -0.048   4.574
 12.000   3.000   4.447  -0.040   4.545
 13.000   4.000   4.407  -0.033   4.508
 14.000   4.000   4.452  -0.041   4.537
 15.000   4.000   4.447  -0.040   4.545
 16.000   4.000   4.402  -0.032   4.515
 17.000   5.000   4.362  -0.025   4.478
 18.000   5.000   4.407  -0.033   4.508
 19.000   5.000   4.402  -0.032   4.515
 20.000   5.000   4.357  -0.025   4.485
 21.000   6.000   4.352  -0.024   4.477
 22.000   6.000   4.362  -0.025   4.478
 23.000   6.000   4.357  -0.025   4.485
 24.000   6.000   4.348  -0.023   4.484
 25.000   7.000   4.342  -0.022   4.476
 26.000   7.000   4.352  -0.024   4.477
 27.000   7.000   4.348  -0.023   4.484
 28.000   7.000   4.338  -0.021   4.484
 29.000   8.000   4.333  -0.020   4.476
 30.000   8.000   4.342  -0.022   4.476
 31.000   8.000   4.338  -0.021   4.484
 32.000   8.000   4.328  -0.019   4.483
 33.000   9.000   4.323  -0.018   4.475
 34.000   9.000   4.333  -0.020   4.476
 35.000   9.000   4.328  -0.019   4.483
 36.000   9.000   4.318  -0.018   4.483
 37.000  10.000   4.313  -0.017   4.475
 38.000  10.000   4.323  -0.018   4.475
 39.000  10.000   4.318  -0.018   4.483
 40.000  10.000   4.308  -0.016   4.482
 41.000  11.000   4.306  -0.015   4.479
 42.000  11.000   4.313  -0.017   4.475
 43.000  11.000   4.308  -0.016   4.482
 44.000  11.000   4.301  -0.015   4.486
 45.000  12.000   4.298  -0.014   4.482
 46.000  12.000   4.306  -0.015   4.479
 47.000  12.000   4.301  -0.015   4.486
 48.000  12.000   4.294  -0.013   4.489
 49.000  13.000   4.291  -0.013   4.486
 50.000  13.000   4.298  -0.014   4.482
 51.000  13.000   4.294  -0.013   4.489
 52.000  13.000   4.287  -0.012   4.493
 53.000  14.000   4.284  -0.012   4.490
 54.000  14.000   4.291  -0.013   4.486
 55.000  14.000   4.287  -0.012   4.493
 56.000  14.000   4.279  -0.011   4.497
 57.000  15.000   4.269  -0.009   4.497
