# 
# parallel velocity (up) (m.s-1)
   ix   iy      x           y           z01           z02           z03           z04           z05           z06           z07           z08           z09
    1    1  4.1805E+03 -3.8836E+03 -1.537518E+03 -1.540712E+03 -1.538745E+03 -1.542714E+03 -1.539170E+03 -1.538534E+03 -1.538295E+03 -1.538182E+03 -1.538115E+03
    2    1  4.1824E+03 -3.8828E+03 -6.706318E+02 -6.711771E+02 -6.704846E+02 -6.694592E+02 -6.698117E+02 -6.699489E+02 -6.699785E+02 -6.699677E+02 -6.699559E+02
    3    1  4.1844E+03 -3.8820E+03 -6.673524E+02 -6.656734E+02 -6.661776E+02 -6.626086E+02 -6.651533E+02 -6.657163E+02 -6.659035E+02 -6.659638E+02 -6.659926E+02
    4    1  4.1869E+03 -3.8810E+03 -2.714394E+02 -2.724095E+02 -2.715749E+02 -2.725122E+02 -2.714631E+02 -2.713123E+02 -2.712485E+02 -2.712097E+02 -2.711829E+02
    5    1  4.1905E+03 -3.8796E+03 -3.419494E+02 -3.414234E+02 -3.416837E+02 -3.401917E+02 -3.413307E+02 -3.415321E+02 -3.415989E+02 -3.416245E+02 -3.416359E+02
    6    1  4.1960E+03 -3.8775E+03 -7.814414E+02 -7.788474E+02 -7.803036E+02 -7.748010E+02 -7.793802E+02 -7.801054E+02 -7.803379E+02 -7.804353E+02 -7.804845E+02
    7    1  4.2042E+03 -3.8742E+03 -8.402961E+02 -8.364173E+02 -8.383607E+02 -8.298481E+02 -8.370919E+02 -8.380678E+02 -8.383465E+02 -8.384513E+02 -8.384994E+02
    8    1  4.2161E+03 -3.8696E+03 -1.196452E+03 -1.196761E+03 -1.194909E+03 -1.196150E+03 -1.195588E+03 -1.194812E+03 -1.194461E+03 -1.194259E+03 -1.194132E+03
    9    1  4.2326E+03 -3.8631E+03 -1.942279E+03 -1.928359E+03 -1.933204E+03 -1.911611E+03 -1.929239E+03 -1.932123E+03 -1.933356E+03 -1.933958E+03 -1.934291E+03
   10    1  4.2548E+03 -3.8546E+03 -2.438109E+03 -2.410157E+03 -2.425638E+03 -2.368734E+03 -2.416644E+03 -2.424064E+03 -2.426816E+03 -2.428153E+03 -2.428896E+03
   11    1  4.2836E+03 -3.8436E+03 -2.342979E+03 -2.334052E+03 -2.340497E+03 -2.313915E+03 -2.337915E+03 -2.340341E+03 -2.341053E+03 -2.341404E+03 -2.341593E+03
   12    1  4.3204E+03 -3.8299E+03 -1.799769E+03 -1.807241E+03 -1.800576E+03 -1.830506E+03 -1.804018E+03 -1.801292E+03 -1.801032E+03 -1.801116E+03 -1.801208E+03
   13    1  4.3667E+03 -3.8129E+03 -1.361579E+03 -1.371733E+03 -1.361359E+03 -1.409725E+03 -1.366307E+03 -1.362413E+03 -1.362353E+03 -1.362677E+03 -1.362934E+03
   14    1  4.4249E+03 -3.7925E+03 -1.304312E+03 -1.338918E+03 -1.317138E+03 -1.366168E+03 -1.330629E+03 -1.319681E+03 -1.315707E+03 -1.314000E+03 -1.313009E+03
