1.00
*     IK    IR          PSIn       B_ratio
       1     1     0.7007739     0.0955837     0.0894837
       2     1     0.7006354     0.0958218     0.0895251
       3     1     0.7007199     0.0986881     0.0894998
       4     1     0.7007541     0.1089969     0.0894896
       5     1     0.7006094     0.1254729     0.0895329
       6     1     0.7007167     0.1409144     0.0895007
       7     1     0.7007807     0.1493532     0.0894816
       8     1     0.7007607     0.1477105     0.0894876
       9     1     0.7007336     0.1359941     0.0894957
      10     1     0.7006147     0.1197103     0.0895313
      11     1     0.7007785     0.1094834     0.0894823
      12     1     0.7007099     0.1106889     0.0895028
      13     1     0.7007438     0.1263464     0.0894927
      14     1     0.7006108     0.1538635     0.0895324
      15     1     0.7006621     0.1789915     0.0895171
      16     1     0.7006061     0.1935774     0.0895339
      17     1     0.7007027     0.1959988     0.0895050
      18     1     0.7006655     0.1847499     0.0895161
      19     1     0.7007472     0.1610521     0.0894917
      20     1     0.7006027     0.1320594     0.0895348
      21     1     0.7006558     0.1090539     0.0895190
      22     1     0.7007122     0.0985353     0.0895021
      23     1     0.7006218     0.0961007     0.0895291
      24     1     0.7006473     0.0957004     0.0895215
       1     2     0.7407777     0.0900265     0.0775205
       2     2     0.7406503     0.0903949     0.0775586
       3     2     0.7405973     0.0941836     0.0775745
       4     2     0.7402926     0.1061650     0.0776656
       5     2     0.7398467     0.1236960     0.0777989
       6     2     0.7397484     0.1393721     0.0778283
       7     2     0.7397825     0.1476740     0.0778181
       8     2     0.7397890     0.1460465     0.0778162
       9     2     0.7397660     0.1341634     0.0778230
      10     2     0.7398031     0.1170577     0.0778120
      11     2     0.7401597     0.1056043     0.0777053
      12     2     0.7402750     0.1070769     0.0776708
      13     2     0.7400051     0.1247042     0.0777516
      14     2     0.7395905     0.1536558     0.0778756
      15     2     0.7394917     0.1789633     0.0779051
      16     2     0.7394820     0.1933891     0.0779080
      17     2     0.7395220     0.1959926     0.0778960
      18     2     0.7394119     0.1851077     0.0779289
      19     2     0.7394239     0.1614861     0.0779254
      20     2     0.7394530     0.1316765     0.0779167
      21     2     0.7396744     0.1065119     0.0778505
      22     2     0.7402821     0.0938140     0.0776687
      23     2     0.7406926     0.0906082     0.0775460
      24     2     0.7407071     0.0901350     0.0775416
