{NUMBER OF COLUMNS}  4
* 21700 @ 2400 ms
* play data taken from SOLPS run
*
* psin     jsat          Te         Ti     
*          (Amps)        (eV)       (eV) 
{DATA}
0.98231    9.2013E-30     5.2981    11.6847
0.98620	   1.3299E+03	  3.3668     9.6806
0.98942	   3.3323E+03	  3.9756     9.9562
0.99209	   8.8111E+03	  4.8372    10.2112
0.99423	   3.3987E+04	  5.4778    11.9001
0.99594	   3.4337E+04	  8.0240    12.1129
0.99731	   4.6467E+04	 11.5478    13.3158
0.99846	   7.6397E+04	 15.5999     9.8779
0.99947	   1.8545E+05	 20.3455    10.6198
1.00113	   2.7170E+05	 25.0227    13.5477
1.00409	   2.1621E+05	 32.2869    13.4261
1.00836	   1.7862E+05	 34.1944    20.5212
1.01411	   1.1561E+05	 29.8267    23.3959
1.02153	   6.6616E+04	 28.7020    27.5869
1.03073	   3.5827E+04	 27.0251    33.1857
1.04201	   2.0679E+04	 23.9533    38.6866
1.05627	   1.4180E+04	 20.0420    44.8493
1.07232	   9.1217E+03	 14.2230    50.1619
{END}



