# ITER#1537 (F57 ref-20-NF-C0, tau=0.4e-6, ntime=150)  - 57.3 ms
# parallel velocity (up) (m.s-1)
   ix   iy      x           y           z01           z02           z03           z04           z05           z06           z07           z08           z09
    1    1  4.1805E+03 -3.8836E+03 -2.266517E+03 -2.271347E+03 -2.268229E+03 -2.273867E+03 -2.268957E+03 -2.267905E+03 -2.267497E+03 -2.267298E+03 -2.267178E+03
    2    1  4.1824E+03 -3.8828E+03 -1.249008E+03 -1.255796E+03 -1.251285E+03 -1.259426E+03 -1.252282E+03 -1.250788E+03 -1.250208E+03 -1.249920E+03 -1.249748E+03
    3    1  4.1844E+03 -3.8820E+03 -6.208376E+02 -6.230022E+02 -6.214701E+02 -6.238329E+02 -6.216449E+02 -6.212085E+02 -6.210337E+02 -6.209423E+02 -6.208862E+02
    4    1  4.1869E+03 -3.8810E+03 -6.838077E+02 -6.842185E+02 -6.838834E+02 -6.839592E+02 -6.838011E+02 -6.837540E+02 -6.837276E+02 -6.837106E+02 -6.836988E+02
    5    1  4.1905E+03 -3.8796E+03 -7.523452E+02 -7.544365E+02 -7.529164E+02 -7.564703E+02 -7.535046E+02 -7.528832E+02 -7.526497E+02 -7.525362E+02 -7.524709E+02
    6    1  4.1960E+03 -3.8775E+03 -8.852245E+02 -8.898505E+02 -8.864854E+02 -8.951359E+02 -8.880169E+02 -8.865461E+02 -8.860034E+02 -8.857444E+02 -8.855974E+02
    7    1  4.2042E+03 -3.8742E+03 -1.209350E+03 -1.215890E+03 -1.210870E+03 -1.224134E+03 -1.213227E+03 -1.211006E+03 -1.210191E+03 -1.209803E+03 -1.209582E+03
    8    1  4.2161E+03 -3.8696E+03 -1.384778E+03 -1.392712E+03 -1.386189E+03 -1.402392E+03 -1.389148E+03 -1.386309E+03 -1.385263E+03 -1.384763E+03 -1.384476E+03
    9    1  4.2326E+03 -3.8631E+03 -1.734821E+03 -1.740514E+03 -1.735297E+03 -1.741505E+03 -1.737575E+03 -1.735247E+03 -1.734187E+03 -1.733639E+03 -1.733311E+03
   10    1  4.2548E+03 -3.8546E+03 -2.049306E+03 -2.049357E+03 -2.049640E+03 -2.036576E+03 -2.049780E+03 -2.049559E+03 -2.048941E+03 -2.048537E+03 -2.048271E+03
   11    1  4.2836E+03 -3.8436E+03 -1.943531E+03 -1.941977E+03 -1.944525E+03 -1.931050E+03 -1.943790E+03 -1.944566E+03 -1.944424E+03 -1.944271E+03 -1.944159E+03
