* number of heading lines in this data file : 15
* 
* BM 3D coordinates extracted from CASTEM
* Post-proc in Matlab : only reading CASTEM raw data (for checking) and write concatenate ascii files - no modifications of X,Y,Z coordinates
* Date CASTEM calculations : 15/03/2011
* Date Matlab post-processing data : 15/03/2011
* Files can be found in : C:\CASTEM_FW.BM coordinates for Steve. march. 2011 (bis) -  whole column - def
* Modif compared to latest version : - 
* 
* FIRST WALL GEOMETRY:
* Reference design November 2009 - slightly adjusted in January 2010 (CATIA skeleton post-Blanket CDR)
* higher spatial resolution than the one used for previous DIVIMP grid (2010)
* 
* DATA
* nºnode  nºelem  X(m)    Y(m)    Z(m) 
133.000  34.000   7.638   0.030  -1.782
134.000  34.000   7.667   0.030  -1.739
135.000  34.000   7.671   0.030  -1.742
136.000  34.000   7.642   0.030  -1.785
137.000  35.000   7.609   0.030  -1.825
138.000  35.000   7.638   0.030  -1.782
139.000  35.000   7.642   0.030  -1.785
140.000  35.000   7.613   0.030  -1.828
141.000  36.000   7.651   0.624  -1.791
142.000  36.000   7.622   0.624  -1.834
143.000  36.000   7.626   0.624  -1.837
144.000  36.000   7.655   0.624  -1.794
145.000  37.000   7.680   0.624  -1.748
146.000  37.000   7.651   0.624  -1.791
147.000  37.000   7.655   0.624  -1.794
148.000  37.000   7.684   0.624  -1.751
149.000  38.000   7.709   0.624  -1.705
150.000  38.000   7.680   0.624  -1.748
151.000  38.000   7.684   0.624  -1.751
152.000  38.000   7.713   0.624  -1.708
153.000  39.000   7.738   0.624  -1.662
154.000  39.000   7.709   0.624  -1.705
155.000  39.000   7.713   0.624  -1.708
156.000  39.000   7.742   0.624  -1.664
157.000  40.000   7.767   0.624  -1.618
158.000  40.000   7.738   0.624  -1.662
159.000  40.000   7.742   0.624  -1.664
160.000  40.000   7.771   0.624  -1.621
161.000  41.000   7.796   0.624  -1.575
162.000  41.000   7.767   0.624  -1.618
163.000  41.000   7.771   0.624  -1.621
164.000  41.000   7.801   0.624  -1.578
165.000  42.000   7.825   0.624  -1.532
166.000  42.000   7.796   0.624  -1.575
167.000  42.000   7.801   0.624  -1.578
168.000  42.000   7.830   0.624  -1.535
169.000  43.000   7.854   0.624  -1.489
170.000  43.000   7.825   0.624  -1.532
171.000  43.000   7.830   0.624  -1.535
172.000  43.000   7.859   0.624  -1.492
173.000  44.000   7.884   0.624  -1.446
174.000  44.000   7.854   0.624  -1.489
175.000  44.000   7.859   0.624  -1.492
176.000  44.000   7.888   0.624  -1.448
177.000  45.000   7.913   0.624  -1.403
178.000  45.000   7.884   0.624  -1.446
179.000  45.000   7.888   0.624  -1.448
180.000  45.000   7.917   0.624  -1.405
181.000  46.000   7.918   0.624  -1.394
182.000  46.000   7.913   0.624  -1.403
183.000  46.000   7.917   0.624  -1.405
184.000  46.000   7.922   0.624  -1.397
185.000  47.000   7.909   0.614  -1.388
186.000  47.000   7.918   0.624  -1.394
187.000  47.000   7.922   0.624  -1.397
188.000  47.000   7.913   0.614  -1.391
189.000  48.000   7.894   0.559  -1.378
190.000  48.000   7.909   0.614  -1.388
191.000  48.000   7.913   0.614  -1.391
192.000  48.000   7.898   0.559  -1.381
193.000  49.000   7.889   0.505  -1.375
194.000  49.000   7.894   0.559  -1.378
195.000  49.000   7.898   0.559  -1.381
196.000  49.000   7.893   0.505  -1.377
197.000  50.000   7.886   0.450  -1.373
198.000  50.000   7.889   0.505  -1.375
199.000  50.000   7.893   0.505  -1.377
200.000  50.000   7.890   0.450  -1.375
201.000  51.000   7.884   0.395  -1.371
202.000  51.000   7.886   0.450  -1.373
203.000  51.000   7.890   0.450  -1.375
204.000  51.000   7.889   0.395  -1.374
205.000  52.000   7.883   0.340  -1.371
206.000  52.000   7.884   0.395  -1.371
207.000  52.000   7.889   0.395  -1.374
208.000  52.000   7.887   0.340  -1.373
209.000  53.000   7.882   0.286  -1.370
