# ITER#1540 (F57 ref-20-NF-C0, tau=0.3e-6, ntime=150)  - 82.7 ms
# parallel velocity (up) (m.s-1)
   ix   iy      x           y           z01           z02           z03           z04           z05           z06           z07           z08           z09
    1    1  4.1805E+03 -3.8836E+03 -1.370834E+03 -1.367248E+03 -1.369203E+03 -1.361181E+03 -1.367438E+03 -1.368634E+03 -1.369042E+03 -1.369214E+03 -1.369304E+03
    2    1  4.1824E+03 -3.8828E+03 -7.789320E+02 -7.741393E+02 -7.766710E+02 -7.655302E+02 -7.742523E+02 -7.758508E+02 -7.763892E+02 -7.766098E+02 -7.767246E+02
    3    1  4.1844E+03 -3.8820E+03 -3.072807E+02 -3.063730E+02 -3.066936E+02 -3.040591E+02 -3.061606E+02 -3.064419E+02 -3.065224E+02 -3.065458E+02 -3.065549E+02
    4    1  4.1869E+03 -3.8810E+03  1.075456E+02  1.085130E+02  1.079872E+02  1.095206E+02  1.082923E+02  1.080522E+02  1.079665E+02  1.079314E+02  1.079128E+02
    5    1  4.1905E+03 -3.8796E+03 -1.250670E+02 -1.227012E+02 -1.239863E+02 -1.201373E+02 -1.231357E+02 -1.237952E+02 -1.240311E+02 -1.241322E+02 -1.241864E+02
    6    1  4.1960E+03 -3.8775E+03 -4.652301E+02 -4.681168E+02 -4.657216E+02 -4.702686E+02 -4.666788E+02 -4.656499E+02 -4.652498E+02 -4.650453E+02 -4.649229E+02
    7    1  4.2042E+03 -3.8742E+03 -6.251959E+02 -6.341320E+02 -6.278792E+02 -6.396213E+02 -6.313803E+02 -6.282239E+02 -6.269672E+02 -6.263447E+02 -6.259836E+02
    8    1  4.2161E+03 -3.8696E+03 -9.789832E+02 -9.636135E+02 -9.729383E+02 -9.395851E+02 -9.682383E+02 -9.722952E+02 -9.733002E+02 -9.736538E+02 -9.738138E+02
    9    1  4.2326E+03 -3.8631E+03 -1.967685E+03 -1.882995E+03 -1.940156E+03 -1.775140E+03 -1.909302E+03 -1.935892E+03 -1.943055E+03 -1.945766E+03 -1.947067E+03
   10    1  4.2548E+03 -3.8546E+03 -2.760971E+03 -2.517560E+03 -2.690134E+03 -2.272178E+03 -2.597143E+03 -2.678331E+03 -2.701571E+03 -2.710525E+03 -2.714843E+03
   11    1  4.2836E+03 -3.8436E+03 -2.860415E+03 -2.503639E+03 -2.749652E+03 -2.210077E+03 -2.613130E+03 -2.732346E+03 -2.771224E+03 -2.787465E+03 -2.795664E+03
   12    1  4.3204E+03 -3.8299E+03 -2.414667E+03 -2.136278E+03 -2.319858E+03 -1.947273E+03 -2.214115E+03 -2.306093E+03 -2.338913E+03 -2.353301E+03 -2.360747E+03
   13    1  4.3667E+03 -3.8129E+03 -2.067075E+03 -1.895332E+03 -2.005789E+03 -1.785723E+03 -1.944238E+03 -1.998383E+03 -2.017200E+03 -2.025657E+03 -2.030266E+03
   14    1  4.4249E+03 -3.7925E+03 -2.115303E+03 -2.013167E+03 -2.081720E+03 -1.892471E+03 -2.049935E+03 -2.078586E+03 -2.085569E+03 -2.088471E+03 -2.090241E+03
   15    1  4.4971E+03 -3.7686E+03 -1.870880E+03 -1.778847E+03 -1.841851E+03 -1.670933E+03 -1.814640E+03 -1.839340E+03 -1.844005E+03 -1.845421E+03 -1.846434E+03
   16    1  4.5842E+03 -3.7423E+03 -1.468710E+03 -1.387126E+03 -1.425833E+03 -1.398577E+03 -1.403318E+03 -1.423982E+03 -1.433070E+03 -1.437700E+03 -1.441235E+03
   17    1  4.6845E+03 -3.7170E+03 -1.039675E+03 -1.130516E+03 -1.073152E+03 -1.254675E+03 -1.105895E+03 -1.080829E+03 -1.072695E+03 -1.069192E+03 -1.069420E+03
   18    1  4.7929E+03 -3.6989E+03 -8.752035E+02 -1.074530E+03 -9.764180E+02 -1.178795E+03 -1.042869E+03 -9.893734E+02 -9.636796E+02 -9.506101E+02 -9.460272E+02
   19    1  4.8964E+03 -3.6959E+03 -8.635849E+02 -1.065630E+03 -9.664106E+02 -1.135250E+03 -1.033756E+03 -9.765907E+02 -9.513475E+02 -9.383663E+02 -9.316690E+02
   20    1  4.9755E+03 -3.7077E+03 -4.461978E+02 -6.298674E+02 -5.202474E+02 -7.344624E+02 -5.860972E+02 -5.287250E+02 -5.148871E+02 -5.088740E+02 -5.042087E+02
   21    1  5.4416E+03 -2.6135E+03 -1.357318E+02 -1.590201E+02 -1.316220E+02 -1.813179E+03 -1.793006E+03 -1.715583E+03 -1.532761E+03 -5.753298E+02  6.960662E+02
   22    1  5.3527E+03 -2.5513E+03 -1.269086E+02 -1.520496E+02 -1.215767E+02 -1.841896E+03 -1.811264E+03 -1.725107E+03 -1.538228E+03 -5.828835E+02  6.776226E+02
   23    1  5.1855E+03 -2.3739E+03 -1.147384E+02 -1.364051E+02 -1.060691E+02 -1.860861E+03 -1.832182E+03 -1.750227E+03 -1.568562E+03 -5.943376E+02  6.812597E+02
   24    1  5.0190E+03 -2.1003E+03 -1.003455E+02 -1.169400E+02 -8.938689E+01 -1.783615E+03 -1.759546E+03 -1.685513E+03 -1.516665E+03 -5.576738E+02  6.893120E+02
   25    1  4.8749E+03 -1.7821E+03 -8.318228E+01 -9.729746E+01 -7.252726E+01 -1.603536E+03 -1.583131E+03 -1.519387E+03 -1.371415E+03 -4.876091E+02  6.528483E+02
   26    1  4.7513E+03 -1.4488E+03 -6.648727E+01 -7.936433E+01 -5.737509E+01 -1.372287E+03 -1.355402E+03 -1.303181E+03 -1.180219E+03 -4.082479E+02  5.803480E+02
   27    1  4.6451E+03 -1.1082E+03 -5.245822E+01 -6.415734E+01 -4.543955E+01 -1.122731E+03 -1.109794E+03 -1.069020E+03 -9.710801E+02 -3.237121E+02  5.000201E+02
   28    1  4.5555E+03 -7.6268E+02 -4.019013E+01 -5.115806E+01 -3.560460E+01 -8.638248E+02 -8.547135E+02 -8.247685E+02 -7.512976E+02 -2.428094E+02  4.009238E+02
   29    1  4.4819E+03 -4.1310E+02 -2.964807E+01 -4.017470E+01 -2.875437E+01 -5.978642E+02 -5.922513E+02 -5.726905E+02 -5.234267E+02 -1.656409E+02  2.860234E+02
   30    1  4.4237E+03 -6.0661E+01 -2.028821E+01 -3.083387E+01 -2.447985E+01 -3.254997E+02 -3.226250E+02 -3.127000E+02 -2.870923E+02 -8.923378E+01  1.604149E+02
   31    1  4.3824E+03  2.9378E+02 -1.158625E+01 -2.260100E+01 -2.177722E+01 -4.950205E+01 -4.913884E+01 -4.835084E+01 -4.574286E+01 -1.247237E+01  2.966611E+01
   32    1  4.3589E+03  6.5012E+02 -3.124867E+00 -1.468374E+01 -1.965190E+01  2.270962E+02  2.250544E+02  2.166745E+02  1.962031E+02  6.440419E+01 -1.011965E+02
   33    1  4.3515E+03  1.0072E+03  5.929980E+00 -6.334881E+00 -1.672027E+01  5.011907E+02  4.969381E+02  4.793892E+02  4.357602E+02  1.415241E+02 -2.293433E+02
   34    1  4.3605E+03  1.3634E+03  1.613833E+01  3.023507E+00 -1.200778E+01  7.674723E+02  7.608488E+02  7.340565E+02  6.674078E+02  2.183543E+02 -3.505728E+02
   35    1  4.3879E+03  1.7170E+03  2.777517E+01  1.408008E+01 -4.539265E+00  1.018137E+03  1.007165E+03  9.700523E+02  8.803932E+02  2.920721E+02 -4.584543E+02
   36    1  4.4377E+03  2.0654E+03  4.135677E+01  2.743319E+01  6.289064E+00  1.256112E+03  1.240791E+03  1.193211E+03  1.080644E+03  3.655157E+02 -5.544521E+02
   37    1  4.5125E+03  2.4051E+03  5.652323E+01  4.335512E+01  2.019674E+01  1.477743E+03  1.458942E+03  1.401000E+03  1.265576E+03  4.375015E+02 -6.358175E+02
   38    1  4.6154E+03  2.7294E+03  7.244983E+01  6.126356E+01  3.667895E+01  1.668025E+03  1.645100E+03  1.576513E+03  1.419292E+03  5.014267E+02 -6.954061E+02
   39    1  4.7504E+03  3.0251E+03  8.830441E+01  7.888640E+01  5.455131E+01  1.810189E+03  1.783759E+03  1.705823E+03  1.530099E+03  5.503593E+02 -7.329851E+02
   40    1  4.9164E+03  3.2727E+03  1.027210E+02  9.129516E+01  7.150420E+01  1.882038E+03  1.852913E+03  1.767776E+03  1.578784E+03  5.723851E+02 -7.500564E+02
   41    1  5.1052E+03  3.4555E+03  1.150261E+02  9.087162E+01  8.639891E+01  1.871845E+03  1.841749E+03  1.752629E+03  1.556941E+03  5.590034E+02 -7.561470E+02
   42    1  5.3135E+03  3.5722E+03  1.250748E+02  6.483609E+01  9.914982E+01  1.773582E+03  1.743102E+03  1.652914E+03  1.457452E+03  5.056980E+02 -7.540261E+02
   43    1  5.5546E+03  3.6286E+03  1.341538E+02 -1.604369E+01  1.110350E+02  1.585992E+03  1.555126E+03  1.466127E+03  1.277009E+03  4.100048E+02 -7.470975E+02
   44    1  5.8345E+03  3.6189E+03  1.445417E+02 -2.052961E+02  1.242578E+02  1.327579E+03  1.297958E+03  1.212350E+03  1.033696E+03  2.783184E+02 -7.463847E+02
