# ITER#2296 (F57-20MW-H, tau=0.5e-6, ntime=50)  - 70.3 ms
# Molecular density (m^-3)
   ix   iy      x           y           z01
   16    2  4.5880E+00 -3.7302E+00  8.757627E+18
   17    2  4.6877E+00 -3.7037E+00  4.253034E+18
   18    2  4.7961E+00 -3.6836E+00  2.935255E+18
   19    2  4.9013E+00 -3.6785E+00  2.098694E+18
   20    2  4.9818E+00 -3.6895E+00  2.025620E+18
   21    2  5.4113E+00 -2.6783E+00  0.000000E+00
   22    2  5.3141E+00 -2.6035E+00  0.000000E+00
   23    2  5.1453E+00 -2.4055E+00  0.000000E+00
   24    2  4.9856E+00 -2.1177E+00  0.000000E+00
   25    2  4.8477E+00 -1.7931E+00  0.000000E+00
   26    2  4.7279E+00 -1.4566E+00  0.000000E+00
   27    2  4.6244E+00 -1.1141E+00  0.000000E+00
   28    2  4.5365E+00 -7.6712E-01  0.000000E+00
   29    2  4.4641E+00 -4.1644E-01  0.000000E+00
   30    2  4.4064E+00 -6.3096E-02  0.000000E+00
   31    2  4.3652E+00  2.9222E-01  0.000000E+00
   32    2  4.3417E+00  6.4937E-01  0.000000E+00
   33    2  4.3337E+00  1.0072E+00  0.000000E+00
   34    2  4.3416E+00  1.3644E+00  0.000000E+00
   35    2  4.3675E+00  1.7192E+00  0.000000E+00
   36    2  4.4152E+00  2.0694E+00  0.000000E+00
   37    2  4.4876E+00  2.4118E+00  0.000000E+00
   38    2  4.5875E+00  2.7401E+00  0.000000E+00
   39    2  4.7198E+00  3.0422E+00  0.000000E+00
   40    2  4.8855E+00  3.2988E+00  0.000000E+00
   41    2  5.0789E+00  3.4912E+00  0.000000E+00
   42    2  5.2971E+00  3.6143E+00  0.000000E+00
   43    2  5.5501E+00  3.6704E+00  0.000000E+00
   44    2  5.8394E+00  3.6545E+00  0.000000E+00
   45    2  6.1456E+00  3.5681E+00  0.000000E+00
   46    2  6.4480E+00  3.4241E+00  3.672486E+10
   47    2  6.7347E+00  3.2349E+00  0.000000E+00
   48    2  7.0016E+00  3.0104E+00  0.000000E+00
   49    2  7.2462E+00  2.7585E+00  0.000000E+00
   50    2  7.4639E+00  2.4825E+00  8.978604E+10
   51    2  7.6523E+00  2.1844E+00  0.000000E+00
   52    2  7.8110E+00  1.8685E+00  0.000000E+00
   53    2  7.9375E+00  1.5384E+00  0.000000E+00
   54    2  8.0294E+00  1.1968E+00  0.000000E+00
   55    2  8.0870E+00  8.4756E-01  0.000000E+00
   56    2  8.1079E+00  4.9508E-01  3.749172E+10
   57    2  8.0884E+00  1.4286E-01  7.045299E+10
   58    2  8.0306E+00 -2.0553E-01  0.000000E+00
   59    2  7.9361E+00 -5.4503E-01  0.000000E+00
   60    2  7.8038E+00 -8.7092E-01  0.000000E+00
   61    2  7.6358E+00 -1.1800E+00  1.206284E+11
   62    2  7.4355E+00 -1.4700E+00  0.000000E+00
   63    2  7.2082E+00 -1.7395E+00  0.000000E+00
   64    2  6.9574E+00 -1.9858E+00  4.235670E+10
   65    2  6.6846E+00 -2.2077E+00  0.000000E+00
   66    2  6.3937E+00 -2.4047E+00  6.464462E+10
   67    2  6.0901E+00 -2.5695E+00  0.000000E+00
   68    2  5.7913E+00 -2.6785E+00  0.000000E+00
   69    2  5.5486E+00 -2.7044E+00  0.000000E+00
   70    2  5.4379E+00 -2.6895E+00  0.000000E+00
   71    2  5.0436E+00 -3.7142E+00  2.719921E+18
   72    2  5.1166E+00 -3.7678E+00  2.930227E+18
   73    2  5.1977E+00 -3.8547E+00  5.160550E+18
   74    2  5.2696E+00 -3.9551E+00  6.885336E+18
   75    2  5.3305E+00 -4.0538E+00  9.356540E+18
   76    2  5.3816E+00 -4.1440E+00  7.413864E+18
   77    2  5.4232E+00 -4.2214E+00  1.030310E+19
   78    2  5.4560E+00 -4.2846E+00  9.496487E+18
   79    2  5.4814E+00 -4.3349E+00  1.202606E+19
   80    2  5.5010E+00 -4.3744E+00  1.385773E+19
   81    2  5.5161E+00 -4.4052E+00  1.591970E+19
   82    2  5.5275E+00 -4.4288E+00  2.918909E+19
   83    2  5.5360E+00 -4.4464E+00  2.668036E+19
   84    2  5.5420E+00 -4.4590E+00  3.025072E+19
   85    2  5.5461E+00 -4.4677E+00  3.951318E+19
   86    2  5.5488E+00 -4.4734E+00  3.918873E+19
   87    2  5.5506E+00 -4.4771E+00  4.110906E+19
   88    2  5.5519E+00 -4.4798E+00  5.517921E+19
   89    2  5.5529E+00 -4.4818E+00  5.047505E+19
   90    2  5.5538E+00 -4.4838E+00  5.225455E+19
    1    3  4.1893E+00 -3.8655E+00  4.957676E+19
    2    3  4.1912E+00 -3.8647E+00  4.498633E+19
    3    3  4.1932E+00 -3.8639E+00  6.236930E+19
    4    3  4.1957E+00 -3.8629E+00  4.178404E+19
    5    3  4.1993E+00 -3.8614E+00  4.193846E+19
    6    3  4.2048E+00 -3.8592E+00  4.245833E+19
    7    3  4.2130E+00 -3.8559E+00  3.626375E+19
    8    3  4.2250E+00 -3.8511E+00  3.909629E+19
    9    3  4.2415E+00 -3.8445E+00  3.814789E+19
   10    3  4.2637E+00 -3.8357E+00  2.210986E+19
   11    3  4.2926E+00 -3.8244E+00  1.342909E+19
   12    3  4.3294E+00 -3.8101E+00  9.984467E+18
   13    3  4.3758E+00 -3.7925E+00  1.217028E+19
   14    3  4.4339E+00 -3.7712E+00  1.158226E+19
   15    3  4.5056E+00 -3.7461E+00  1.065818E+19
   16    3  4.5916E+00 -3.7182E+00  7.979049E+18
   17    3  4.6904E+00 -3.6904E+00  4.341990E+18
   18    3  4.7988E+00 -3.6682E+00  2.894669E+18
   19    3  4.9058E+00 -3.6608E+00  2.290847E+18
   20    3  4.9882E+00 -3.6704E+00  2.184763E+18
   21    3  5.3781E+00 -2.7440E+00  0.000000E+00
   22    3  5.2724E+00 -2.6541E+00  0.000000E+00
   23    3  5.1044E+00 -2.4345E+00  0.000000E+00
   24    3  4.9526E+00 -2.1336E+00  0.000000E+00
   25    3  4.8209E+00 -1.8034E+00  0.000000E+00
   26    3  4.7051E+00 -1.4641E+00  0.000000E+00
   27    3  4.6042E+00 -1.1197E+00  0.000000E+00
   28    3  4.5178E+00 -7.7138E-01  0.000000E+00
   29    3  4.4465E+00 -4.1968E-01  0.000000E+00
   30    3  4.3893E+00 -6.5464E-02  0.000000E+00
   31    3  4.3484E+00  2.9069E-01  9.652933E+10
   32    3  4.3247E+00  6.4862E-01  0.000000E+00
