2.482	-1.850	2.282	-1.850
2.282	-1.850	2.082	-1.850
2.082	-1.850	1.882	-1.850
1.882	-1.850	1.882	-1.660
1.882	-1.660	1.882	-1.470
1.882	-1.470	2.168	-1.470
2.168	-1.470	2.435	-1.470
2.435	-1.470	2.455	-1.450
2.455	-1.450	2.326	-1.300
2.326	-1.300	2.192	-1.150
2.192	-1.150	2.063	-1.000
2.063	-1.000	2.063	-1.000
2.063	-1.000	1.964	-0.835
1.964	-0.835	1.882	-0.669
1.882	-0.669	1.835	-0.504
1.835	-0.504	1.770	-0.035
1.770	-0.035	1.770	0.499
1.770	0.499	1.770	0.950
1.770	0.950	1.850	1.450
1.850	1.450	2.013	1.906
2.013	1.906	2.262	2.142
2.262	2.142	2.610	2.140
2.610	2.140	3.150	1.907
3.150	1.907	3.574	1.552
3.574	1.552	3.853	1.110
3.853	1.110	4.013	0.571
4.013	0.571	4.014	-0.035
4.014	-0.035	3.850	-0.504
3.850	-0.504	3.727	-0.703
3.727	-0.703	3.511	-0.909
3.511	-0.909	3.250	-1.108
3.250	-1.108	3.069	-1.222
3.069	-1.222	2.883	-1.335
2.883	-1.335	2.702	-1.450
2.702	-1.450	2.722	-1.470
2.722	-1.470	2.970	-1.470
2.970	-1.470	3.237	-1.470
3.237	-1.470	3.237	-1.470
3.237	-1.470	3.237	-1.660
3.237	-1.66	3.237	-1.850
3.237	-1.850	3.037	-1.850
3.037	-1.850	2.837	-1.850
2.837	-1.850	2.637	-1.850
2.637	-1.850	2.437	-1.850
2.437	-1.850	2.482	-1.850

