   10   24   30    1   10     /NEON               /GCR PROJECT      
--------------------------------------------------------------------------------
   7.69897   8.00000   8.30103   8.69897   9.00000   9.30103   9.69897  10.00000
  10.30103  10.69897  11.00000  11.30103  11.69897  12.00000  12.30103  12.69897
  13.00000  13.30103  13.69897  14.00000  14.30103  14.69897  15.00000  15.30103
  -0.69877  -0.52268  -0.30083  -0.15470   0.00020   0.17629   0.30123   0.47732
   0.69917   0.84530   1.00020   1.17629   1.30123   1.47732   1.69917   1.84530
   2.00020   2.17629   2.30123   2.47732   2.69917   2.84530   3.00020   3.17629
   3.30123   3.47732   3.69917   3.84530   4.00020   4.17629
---------------------/ IGRD= 1  / IPRT= 1  /--------/ Z1= 1   / DATE= 20/12/00
 -29.99396 -29.99488 -29.99949 -30.00598 -30.01025 -30.01570 -30.01883 -30.02036
 -30.02636 -30.03129 -30.03167 -30.03369 -30.03646 -30.03819 -30.04109 -30.04622
 -30.04843 -30.04724 -30.04842 -30.05158 -30.05238 -30.05142 -30.05047 -30.04951
 -30.20122 -30.19845 -30.20338 -30.21054 -30.21430 -30.22014 -30.21973 -30.21862
 -30.22772 -30.23178 -30.22716 -30.22752 -30.22797 -30.22768 -30.23187 -30.24110
 -30.24410 -30.23943 -30.23834 -30.24336 -30.24580 -30.24320 -30.23847 -30.23337
 -30.33774 -30.33254 -30.33768 -30.34527 -30.34871 -30.35480 -30.35205 -30.34922
 -30.36035 -30.36384 -30.35592 -30.35519 -30.35411 -30.35249 -30.35753 -30.36947
 -30.37299 -30.36603 -30.36345 -30.36969 -30.37320 -30.36952 -30.36230 -30.35448
 -30.48246 -30.47468 -30.48004 -30.48810 -30.49118 -30.49755 -30.49232 -30.48765
 -30.50095 -30.50383 -30.49241 -30.49052 -30.48783 -30.48480 -30.49074 -30.50554
 -30.50961 -30.50023 -30.49606 -30.50360 -30.50825 -30.50343 -30.49356 -30.48286
 -30.64698 -30.63627 -30.64188 -30.65046 -30.65314 -30.65982 -30.65178 -30.64502
 -30.66078 -30.66297 -30.64758 -30.64437 -30.63983 -30.63520 -30.64217 -30.66023
 -30.66493 -30.65279 -30.64682 -30.65583 -30.66177 -30.65565 -30.64278 -30.62880
 -30.76371 -30.75092 -30.75671 -30.76566 -30.76806 -30.77496 -30.76491 -30.75668
 -30.77418 -30.77588 -30.75767 -30.75353 -30.74768 -30.74192 -30.74961 -30.76999
 -30.77512 -30.76103 -30.75378 -30.76384 -30.77069 -30.76366 -30.74866 -30.73235
 -30.92822 -30.91250 -30.91855 -30.92802 -30.93002 -30.93723 -30.92437 -30.91405
 -30.93401 -30.93501 -30.91283 -30.90738 -30.89969 -30.89232 -30.90104 -30.92467
 -30.93044 -30.91358 -30.90453 -30.91607 -30.92422 -30.91589 -30.89788 -30.87829
 -31.13549 -31.11608 -31.12244 -31.13258 -31.13407 -31.14167 -31.12526 -31.11231
 -31.13537 -31.13550 -31.10832 -31.10120 -31.09120 -31.08181 -31.09181 -31.11956
 -31.12611 -31.10578 -31.09446 -31.10785 -31.11763 -31.10767 -31.08587 -31.06216
 -31.27201 -31.25017 -31.25674 -31.26731 -31.26847 -31.27633 -31.25759 -31.24290
 -31.26801 -31.26756 -31.23708 -31.22887 -31.21734 -31.20662 -31.21748 -31.24793
 -31.25499 -31.23238 -31.21956 -31.23418 -31.24503 -31.23399 -31.20970 -31.18327
 -31.41673 -31.39231 -31.39910 -31.41014 -31.41094 -31.41908 -31.39786 -31.38133
 -31.40860 -31.40755 -31.37357 -31.36421 -31.35106 -31.33893 -31.35068 -31.38400
 -31.39162 -31.36658 -31.35218 -31.36809 -31.38008 -31.36790 -31.34097 -31.31165
 -31.58124 -31.55389 -31.56094 -31.57250 -31.57291 -31.58136 -31.55731 -31.53870
 -31.56843 -31.56669 -31.52874 -31.51806 -31.50306 -31.48933 -31.50211 -31.53869
 -31.54693 -31.51913 -31.50293 -31.52032 -31.53361 -31.52012 -31.49019 -31.45759
---------------------/ IGRD= 1  / IPRT= 1  /--------/ Z1= 2   / DATE= 20/12/00
 -28.63216 -28.60718 -28.58098 -28.54101 -28.50275 -28.45508 -28.37725 -28.30809
 -28.23051 -28.11462 -28.01547 -27.90404 -27.73116 -27.57688 -27.40243 -27.14440
 -26.92865 -26.69306 -26.36082 -26.09742 -25.82743 -25.46669 -25.19394 -24.92100
 -28.79922 -28.78189 -28.76332 -28.73469 -28.70723 -28.67256 -28.61554 -28.56496
 -28.50830 -28.42369 -28.35066 -28.26664 -28.13409 -28.01560 -27.88179 -27.68184
 -27.51244 -27.32492 -27.04829 -26.82003 -26.57737 -26.24066 -25.97870 -25.71273
 -28.99391 -28.98253 -28.96963 -28.95125 -28.93530 -28.91327 -28.87550 -28.84271
 -28.80549 -28.74799 -28.69718 -28.63912 -28.54797 -28.46619 -28.37371 -28.23384
 -28.11257 -27.97576 -27.76776 -27.58879 -27.39261 -27.11003 -26.88056 -26.63819
 -29.11232 -29.10420 -29.09597 -29.08253 -29.06862 -29.05174 -29.02448 -28.99995
 -28.97273 -28.92984 -28.89007 -28.84486 -28.77445 -28.71129 -28.64060 -28.53301
 -28.43777 -28.32935 -28.16260 -28.01724 -27.85646 -27.61960 -27.42063 -27.20430
 -29.22874 -29.22216 -29.21593 -29.20618 -29.19625 -29.18397 -29.16416 -29.14644
 -29.12629 -29.09503 -29.06669 -29.03313 -28.98037 -28.93377 -28.88007 -28.79710
 -28.72451 -28.64190 -28.51400 -28.40143 -28.27555 -28.08615 -27.92322 -27.74332
 -29.34714 -29.34031 -29.33439 -29.32672 -29.32025 -29.31192 -29.29809 -29.28604
 -29.27232 -29.25081 -29.23119 -29.20806 -29.17113 -29.13781 -29.09965 -29.04080
 -28.98871 -28.92877 -28.83609 -28.75476 -28.66235 -28.52156 -28.39951 -28.26203
 -29.42847 -29.42066 -29.41453 -29.40745 -29.40215 -29.39561 -29.38509 -29.37623
 -29.36585 -29.34897 -29.33377 -29.31599 -29.28733 -29.26133 -29.23182 -29.18627
 -29.14546 -29.09819 -29.02479 -28.96044 -28.88784 -28.77626 -28.67787 -28.56688
 -29.43828 -29.43389 -29.43091 -29.42810 -29.42645 -29.42442 -29.42065 -29.41701
 -29.41253 -29.40481 -29.39728 -29.38808 -29.37269 -29.35836 -29.34184 -29.31559
 -29.29132 -29.26268 -29.21749 -29.17734 -29.13145 -29.05923 -28.99376 -28.91819
 -28.99130 -29.00679 -29.01879 -29.03077 -29.03799 -29.04469 -29.05335 -29.05889
 -29.06263 -29.06820 -29.07374 -29.07597 -29.07701 -29.07965 -29.08074 -29.08001
 -29.07902 -29.07618 -29.06910 -29.06150 -29.05154 -29.03375 -29.01598 -28.99368
 -28.65722 -28.67977 -28.69773 -28.71571 -28.72612 -28.73547 -28.74700 -28.75463
 -28.76196 -28.77142 -28.77788 -28.78392 -28.79181 -28.79731 -28.80118 -28.80572
 -28.80992 -28.81276 -28.81387 -28.81377 -28.81386 -28.81259 -28.80914 -28.80411
 -28.43487 -28.46142 -28.48318 -28.50471 -28.51636 -28.52641 -28.53908 -28.54793
 -28.55644 -28.56664 -28.57335 -28.58031 -28.58917 -28.59482 -28.60043 -28.60761
 -28.61218 -28.61592 -28.62025 -28.62338 -28.62586 -28.62820 -28.62925 -28.62907
 -28.32545 -28.35433 -28.37836 -28.40213 -28.41485 -28.42561 -28.43908 -28.44827
 -28.45661 -28.46679 -28.47412 -28.48135 -28.49058 -28.49711 -28.50331 -28.51062
 -28.51528 -28.51955 -28.52472 -28.52822 -28.53131 -28.53450 -28.53636 -28.53848
 -28.31705 -28.34616 -28.37055 -28.39489 -28.40806 -28.41910 -28.43252 -28.44171
 -28.45038 -28.46089 -28.46817 -28.47535 -28.48461 -28.49123 -28.49745 -28.50489
 -28.50986 -28.51441 -28.51982 -28.52331 -28.52607 -28.52930 -28.53196 -28.53455
 -28.37178 -28.39945 -28.42295 -28.44659 -28.45945 -28.47018 -28.48314 -28.49213
 -28.50088 -28.51183 -28.51928 -28.52634 -28.53567 -28.54270 -28.54918 -28.55663
 -28.56162 -28.56644 -28.57238 -28.57603 -28.57883 -28.58200 -28.58449 -28.58661
 -28.51513 -28.53653 -28.55490 -28.57374 -28.58414 -28.59329 -28.60587 -28.61556
 -28.62388 -28.63390 -28.64193 -28.64920 -28.65842 -28.66597 -28.67294 -28.68045
 -28.68514 -28.68952 -28.69522 -28.69945 -28.70252 -28.70491 -28.70677 -28.70919
 -28.64277 -28.65954 -28.67340 -28.68916 -28.69990 -28.70829 -28.71870 -28.72800
 -28.73625 -28.74634 -28.75472 -28.76179 -28.77067 -28.77832 -28.78441 -28.79179
 -28.79854 -28.80405 -28.80848 -28.81104 -28.81393 -28.81793 -28.82075 -28.82280
 -28.79518 -28.80850 -28.82089 -28.83412 -28.84162 -28.85040 -28.86230 -28.86918
 -28.87611 -28.88740 -28.89674 -28.90364 -28.91213 -28.92020 -28.92564 -28.93143
 -28.93779 -28.94313 -28.94860 -28.95270 -28.95576 -28.95846 -28.96067 -28.96343
 -28.97983 -28.99019 -29.00035 -29.01190 -29.01880 -29.02644 -29.03694 -29.04385
 -29.05108 -29.06144 -29.06907 -29.07582 -29.08446 -29.09131 -29.09708 -29.10394
 -29.10940 -29.11386 -29.11902 -29.12312 -29.12616 -29.12880 -29.13076 -29.13286
 -29.11011 -29.11873 -29.12708 -29.13744 -29.14449 -29.15098 -29.15977 -29.16705
 -29.17428 -29.18345 -29.19004 -29.19619 -29.20405 -29.21007 -29.21582 -29.22301
 -29.22811 -29.23244 -29.23721 -29.24046 -29.24324 -29.24607 -29.24773 -29.24942
 -29.27499 -29.28150 -29.28813 -29.29671 -29.30265 -29.30814 -29.31519 -29.32086
 -29.32705 -29.33497 -29.34020 -29.34554 -29.35247 -29.35713 -29.36166 -29.36770
 -29.37202 -29.37554 -29.37948 -29.38233 -29.38442 -29.38669 -29.38859 -29.38993
 -29.42370 -29.42788 -29.43175 -29.43718 -29.44159 -29.44501 -29.44958 -29.45416
 -29.45795 -29.46226 -29.46604 -29.46956 -29.47429 -29.47823 -29.48138 -29.48446
 -29.48678 -29.48944 -29.49271 -29.49428 -29.49517 -29.49662 -29.49841 -29.49969
 -29.47161 -29.47457 -29.47778 -29.48206 -29.48503 -29.48770 -29.49081 -29.49301
 -29.49527 -29.49903 -29.50225 -29.50438 -29.50667 -29.50911 -29.51099 -29.51356
 -29.51617 -29.51753 -29.51868 -29.52044 -29.52171 -29.52282 -29.52370 -29.52385
 -29.48323 -29.48503 -29.48691 -29.48925 -29.49087 -29.49275 -29.49470 -29.49543
 -29.49681 -29.49934 -29.50103 -29.50278 -29.50476 -29.50563 -29.50636 -29.50799
 -29.50978 -29.51109 -29.51171 -29.51183 -29.51242 -29.51377 -29.51458 -29.51483
 -29.48598 -29.48649 -29.48650 -29.48624 -29.48645 -29.48733 -29.48807 -29.48777
 -29.48837 -29.48902 -29.48863 -29.49033 -29.49277 -29.49201 -29.49157 -29.49179
 -29.49208 -29.49393 -29.49474 -29.49220 -29.49153 -29.49336 -29.49441 -29.49538
 -29.48800 -29.48759 -29.48628 -29.48418 -29.48338 -29.48355 -29.48343 -29.48240
 -29.48245 -29.48176 -29.47989 -29.48157 -29.48432 -29.48241 -29.48114 -29.48037
 -29.47959 -29.48182 -29.48277 -29.47834 -29.47677 -29.47893 -29.48016 -29.48165
 -29.49089 -29.48921 -29.48603 -29.48134 -29.47912 -29.47830 -29.47696 -29.47489
 -29.47417 -29.47159 -29.46764 -29.46926 -29.47248 -29.46893 -29.46649 -29.46431
 -29.46203 -29.46479 -29.46594 -29.45884 -29.45600 -29.45866 -29.46013 -29.46234
 -29.49460 -29.49131 -29.48578 -29.47782 -29.47381 -29.47174 -29.46888 -29.46549
 -29.46379 -29.45884 -29.45227 -29.45382 -29.45761 -29.45200 -29.44810 -29.44414
 -29.43995 -29.44340 -29.44479 -29.43433 -29.42990 -29.43316 -29.43494 -29.43808
 -29.49707 -29.49272 -29.48565 -29.47553 -29.47035 -29.46745 -29.46357 -29.45933
 -29.45698 -29.45047 -29.44216 -29.44367 -29.44784 -29.44088 -29.43600 -29.43088
 -29.42544 -29.42932 -29.43088 -29.41820 -29.41272 -29.41639 -29.41837 -29.42211
 -29.49970 -29.49424 -29.48552 -29.47312 -29.46669 -29.46291 -29.45797 -29.45281
 -29.44978 -29.44160 -29.43146 -29.43293 -29.43750 -29.42910 -29.42319 -29.41683
 -29.41006 -29.41442 -29.41615 -29.40112 -29.39453 -29.39863 -29.40082 -29.40520
 -29.50270 -29.49597 -29.48539 -29.47039 -29.46254 -29.45777 -29.45161 -29.44542
 -29.44161 -29.43154 -29.41931 -29.42073 -29.42576 -29.41572 -29.40864 -29.40086
 -29.39259 -29.39748 -29.39941 -29.38171 -29.37385 -29.37844 -29.38088 -29.38599
---------------------/ IGRD= 1  / IPRT= 1  /--------/ Z1= 3   / DATE= 20/12/00
 -28.03480 -28.00987 -27.97981 -27.93117 -27.88918 -27.84456 -27.78116 -27.72035
 -27.64424 -27.52172 -27.41074 -27.28285 -27.08964 -26.93195 -26.75933 -26.48787
 -26.24826 -25.98497 -25.61121 -25.34033 -25.09427 -24.75319 -24.48611 -24.21507
 -28.17734 -28.15777 -28.13421 -28.09630 -28.06358 -28.02872 -27.97881 -27.93059
 -27.87004 -27.77235 -27.68371 -27.58192 -27.42878 -27.30097 -27.15892 -26.93672
 -26.73955 -26.52011 -26.20350 -25.95665 -25.71059 -25.36952 -25.10243 -24.83139
 -28.35453 -28.34175 -28.32640 -28.30193 -28.28080 -28.25805 -28.22489 -28.19246
 -28.15148 -28.08482 -28.02413 -27.95494 -27.85160 -27.76127 -27.65771 -27.49702
 -27.35295 -27.18874 -26.94440 -26.73921 -26.51667 -26.19984 -25.94632 -25.68521
 -28.45095 -28.44263 -28.43254 -28.41607 -28.40141 -28.38513 -28.36082 -28.33785
 -28.30898 -28.26031 -28.21595 -28.16542 -28.08861 -28.02093 -27.94224 -27.81685
 -27.70423 -27.57571 -27.38107 -27.21543 -27.03324 -26.76427 -26.54049 -26.30279
 -28.55066 -28.54496 -28.53804 -28.52696 -28.51723 -28.50648 -28.49035 -28.47474
 -28.45478 -28.42100 -28.39044 -28.35543 -28.30086 -28.25233 -28.19543 -28.10300
 -28.01919 -27.92345 -27.77780 -27.64913 -27.50285 -27.28327 -27.09599 -26.89207
 -28.66582 -28.66230 -28.65802 -28.65105 -28.64512 -28.63902 -28.63038 -28.62053
 -28.60740 -28.58711 -28.56813 -28.54555 -28.51092 -28.47953 -28.44204 -28.38107
 -28.32514 -28.26032 -28.16004 -28.06988 -27.96535 -27.80360 -27.66158 -27.50238
 -28.74531 -28.74308 -28.74031 -28.73559 -28.73140 -28.72697 -28.72071 -28.71420
 -28.70579 -28.69236 -28.67927 -28.66367 -28.64029 -28.61865 -28.59242 -28.55003
 -28.51072 -28.46443 -28.39190 -28.32614 -28.24848 -28.12408 -28.01249 -27.88465
 -28.78405 -28.78561 -28.78668 -28.78694 -28.78641 -28.78551 -28.78389 -28.78186
 -28.77901 -28.77404 -28.76853 -28.76156 -28.75106 -28.74141 -28.72952 -28.70936
 -28.68980 -28.66633 -28.62933 -28.59477 -28.55206 -28.47942 -28.41008 -28.32615
 -28.61255 -28.63086 -28.64864 -28.66726 -28.67749 -28.68511 -28.69225 -28.69561
 -28.69803 -28.70130 -28.70353 -28.70502 -28.70547 -28.70521 -28.70443 -28.70160
 -28.69792 -28.69309 -28.68510 -28.67712 -28.66619 -28.64477 -28.62199 -28.59138
 -28.44291 -28.47338 -28.50384 -28.53666 -28.55497 -28.56857 -28.58127 -28.58812
 -28.59371 -28.60044 -28.60522 -28.60963 -28.61475 -28.61781 -28.62015 -28.62253
 -28.62371 -28.62452 -28.62532 -28.62505 -28.62334 -28.61817 -28.61200 -28.60254
 -28.32042 -28.35777 -28.39601 -28.43861 -28.46282 -28.48050 -28.49610 -28.50455
 -28.51196 -28.52101 -28.52704 -28.53271 -28.53958 -28.54382 -28.54746 -28.55220
 -28.55571 -28.55892 -28.56245 -28.56475 -28.56669 -28.56837 -28.56914 -28.56909
 -28.25907 -28.29908 -28.34105 -28.38907 -28.41688 -28.43725 -28.45472 -28.46314
 -28.46993 -28.47911 -28.48593 -28.49224 -28.49950 -28.50448 -28.50914 -28.51476
 -28.51870 -28.52236 -28.52676 -28.53009 -28.53370 -28.53874 -28.54237 -28.54614
 -28.25554 -28.29490 -28.33674 -28.38571 -28.41466 -28.43610 -28.45456 -28.46336
 -28.47016 -28.47921 -28.48620 -28.49264 -28.49997 -28.50482 -28.50930 -28.51513
 -28.51910 -28.52276 -28.52778 -28.53160 -28.53550 -28.54107 -28.54545 -28.55063
 -28.28941 -28.32633 -28.36595 -28.41319 -28.44159 -28.46281 -28.48131 -28.49063
 -28.49820 -28.50741 -28.51382 -28.52002 -28.52793 -28.53308 -28.53761 -28.54381
 -28.54850 -28.55286 -28.55779 -28.56113 -28.56490 -28.57104 -28.57590 -28.58149
 -28.37446 -28.40501 -28.43814 -28.47836 -28.50320 -28.52253 -28.54054 -28.54998
 -28.55757 -28.56725 -28.57521 -28.58308 -28.59211 -28.59817 -28.60364 -28.61050
 -28.61578 -28.62082 -28.62665 -28.63054 -28.63452 -28.64035 -28.64482 -28.64967
 -28.45424 -28.47910 -28.50595 -28.53884 -28.55973 -28.57684 -28.59431 -28.60399
 -28.61208 -28.62298 -28.63135 -28.63964 -28.65014 -28.65725 -28.66370 -28.67163
 -28.67730 -28.68277 -28.68961 -28.69371 -28.69745 -28.70376 -28.70799 -28.71168
 -28.55884 -28.57797 -28.59885 -28.62548 -28.64312 -28.65794 -28.67327 -28.68258
 -28.69119 -28.70299 -28.71224 -28.72141 -28.73241 -28.73931 -28.74582 -28.75545
 -28.76161 -28.76697 -28.77531 -28.78117 -28.78561 -28.78980 -28.79364 -28.79839
 -28.70195 -28.71669 -28.73227 -28.75194 -28.76535 -28.77741 -28.79164 -28.80167
 -28.81093 -28.82128 -28.82911 -28.83793 -28.85074 -28.85923 -28.86637 -28.87545
 -28.88198 -28.88821 -28.89583 -28.89962 -28.90300 -28.91046 -28.91412 -28.91618
 -28.81053 -28.82231 -28.83476 -28.85114 -28.86280 -28.87354 -28.88634 -28.89558
 -28.90409 -28.91321 -28.92078 -28.92948 -28.94068 -28.94817 -28.95528 -28.96509
 -28.97124 -28.97630 -28.98306 -28.98711 -28.99081 -28.99744 -29.00088 -29.00297
 -28.95039 -28.95887 -28.96802 -28.98065 -28.99003 -28.99882 -29.00920 -29.01645
 -29.02325 -29.03144 -29.03817 -29.04527 -29.05364 -29.05915 -29.06470 -29.07313
 -29.07833 -29.08230 -29.08789 -29.09236 -29.09630 -29.09987 -29.10267 -29.10562
 -29.07402 -29.07934 -29.08488 -29.09231 -29.09791 -29.10344 -29.11063 -29.11583
 -29.12059 -29.12596 -29.13005 -29.13437 -29.13995 -29.14388 -29.14751 -29.15192
 -29.15508 -29.15821 -29.16223 -29.16452 -29.16638 -29.16932 -29.17125 -29.17275
 -29.11138 -29.11491 -29.11858 -29.12355 -29.12727 -29.13085 -29.13537 -29.13896
 -29.14240 -29.14582 -29.14844 -29.15135 -29.15487 -29.15735 -29.15974 -29.16271
 -29.16479 -29.16677 -29.16928 -29.17102 -29.17250 -29.17399 -29.17513 -29.17636
 -29.11562 -29.11767 -29.11979 -29.12270 -29.12492 -29.12713 -29.12995 -29.13189
 -29.13370 -29.13601 -29.13769 -29.13928 -29.14121 -29.14277 -29.14438 -29.14621
 -29.14752 -29.14876 -29.15009 -29.15110 -29.15199 -29.15255 -29.15321 -29.15413
 -29.08703 -29.08807 -29.08906 -29.09031 -29.09131 -29.09248 -29.09433 -29.09551
 -29.09637 -29.09732 -29.09822 -29.09920 -29.10017 -29.10082 -29.10152 -29.10246
 -29.10319 -29.10382 -29.10430 -29.10483 -29.10548 -29.10598 -29.10634 -29.10668
 -29.05123 -29.05195 -29.05260 -29.05333 -29.05387 -29.05453 -29.05567 -29.05651
 -29.05715 -29.05764 -29.05804 -29.05860 -29.05941 -29.05983 -29.06013 -29.06065
 -29.06110 -29.06146 -29.06178 -29.06219 -29.06265 -29.06288 -29.06310 -29.06335
 -28.99384 -28.99424 -28.99461 -28.99497 -28.99513 -28.99523 -28.99532 -28.99550
 -28.99580 -28.99618 -28.99604 -28.99586 -28.99659 -28.99706 -28.99717 -28.99729
 -28.99733 -28.99743 -28.99790 -28.99812 -28.99799 -28.99755 -28.99766 -28.99807
 -28.92129 -28.92131 -28.92133 -28.92124 -28.92094 -28.92033 -28.91908 -28.91842
 -28.91831 -28.91856 -28.91773 -28.91662 -28.91726 -28.91781 -28.91770 -28.91732
 -28.91685 -28.91660 -28.91729 -28.91726 -28.91638 -28.91507 -28.91505 -28.91568
 -28.87352 -28.87328 -28.87308 -28.87269 -28.87209 -28.87101 -28.86888 -28.86766
 -28.86727 -28.86745 -28.86617 -28.86444 -28.86501 -28.86561 -28.86536 -28.86465
 -28.86384 -28.86337 -28.86419 -28.86401 -28.86263 -28.86075 -28.86064 -28.86142
 -28.82290 -28.82239 -28.82195 -28.82124 -28.82032 -28.81874 -28.81567 -28.81386
 -28.81318 -28.81328 -28.81152 -28.80913 -28.80963 -28.81029 -28.80989 -28.80882
 -28.80766 -28.80695 -28.80792 -28.80757 -28.80566 -28.80318 -28.80298 -28.80391
 -28.76535 -28.76454 -28.76383 -28.76277 -28.76147 -28.75934 -28.75520 -28.75272
