* number of heading lines in this data file : 15
* 
* BM 3D coordinates extracted from CASTEM
* Post-proc in Matlab : only reading CASTEM raw data (for checking) and write concatenate ascii files - no modifications of X,Y,Z coordinates
* Date CASTEM calculations : 15/03/2011
* Date Matlab post-processing data : 15/03/2011
* Files can be found in : C:\CASTEM_FW.BM coordinates for Steve. march. 2011 (bis) -  whole column - def
* Modif compared to latest version : - 
* 
* FIRST WALL GEOMETRY:
* Reference design November 2009 - slightly adjusted in January 2010 (CATIA skeleton post-Blanket CDR)
* higher spatial resolution than the one used for previous DIVIMP grid (2010)
* 
* DATA
* nºnode  nºelem  X(m)    Y(m)    Z(m) 
  1.000   1.000   7.718   0.635   2.796
  2.000   1.000   7.740   0.635   2.764
  3.000   1.000   7.744   0.635   2.767
  4.000   1.000   7.722   0.635   2.798
  5.000   2.000   7.697   0.635   2.827
  6.000   2.000   7.718   0.635   2.796
  7.000   2.000   7.722   0.635   2.798
  8.000   2.000   7.701   0.635   2.830
  9.000   3.000   7.675   0.635   2.859
 10.000   3.000   7.697   0.635   2.827
 11.000   3.000   7.701   0.635   2.830
 12.000   3.000   7.679   0.635   2.861
 13.000   4.000   7.653   0.635   2.890
 14.000   4.000   7.675   0.635   2.859
 15.000   4.000   7.679   0.635   2.861
 16.000   4.000   7.657   0.635   2.893
 17.000   5.000   7.632   0.635   2.922
 18.000   5.000   7.653   0.635   2.890
 19.000   5.000   7.657   0.635   2.893
 20.000   5.000   7.636   0.635   2.924
 21.000   6.000   7.610   0.635   2.953
 22.000   6.000   7.632   0.635   2.922
 23.000   6.000   7.636   0.635   2.924
 24.000   6.000   7.614   0.635   2.956
 25.000   7.000   7.588   0.635   2.985
 26.000   7.000   7.610   0.635   2.953
 27.000   7.000   7.614   0.635   2.956
 28.000   7.000   7.593   0.635   2.987
 29.000   8.000   7.567   0.635   3.016
 30.000   8.000   7.588   0.635   2.985
 31.000   8.000   7.593   0.635   2.987
 32.000   8.000   7.571   0.635   3.019
 33.000   9.000   7.545   0.635   3.048
 34.000   9.000   7.567   0.635   3.016
 35.000   9.000   7.571   0.635   3.019
 36.000   9.000   7.549   0.635   3.050
 37.000  10.000   7.524   0.635   3.079
 38.000  10.000   7.545   0.635   3.048
 39.000  10.000   7.549   0.635   3.050
 40.000  10.000   7.528   0.635   3.082
 41.000  11.000   7.518   0.635   3.087
 42.000  11.000   7.524   0.635   3.079
 43.000  11.000   7.528   0.635   3.082
 44.000  11.000   7.522   0.635   3.090
 45.000  12.000   7.514   0.625   3.084
 46.000  12.000   7.518   0.635   3.087
 47.000  12.000   7.522   0.635   3.090
 48.000  12.000   7.518   0.625   3.087
 49.000  13.000   7.500   0.575   3.075
 50.000  13.000   7.514   0.625   3.084
 51.000  13.000   7.518   0.625   3.087
 52.000  13.000   7.505   0.575   3.078
 53.000  14.000   7.493   0.524   3.070
 54.000  14.000   7.500   0.575   3.075
 55.000  14.000   7.505   0.575   3.078
 56.000  14.000   7.497   0.524   3.073
 57.000  15.000   7.487   0.474   3.066
 58.000  15.000   7.493   0.524   3.070
 59.000  15.000   7.497   0.524   3.073
 60.000  15.000   7.492   0.474   3.069
 61.000  16.000   7.483   0.424   3.064
 62.000  16.000   7.487   0.474   3.066
 63.000  16.000   7.492   0.474   3.069
 64.000  16.000   7.488   0.424   3.067
 65.000  17.000   7.480   0.373   3.062
 66.000  17.000   7.483   0.424   3.064
 67.000  17.000   7.488   0.424   3.067
 68.000  17.000   7.484   0.373   3.064
 69.000  18.000   7.478   0.323   3.060
 70.000  18.000   7.480   0.373   3.062
 71.000  18.000   7.484   0.373   3.064
 72.000  18.000   7.482   0.323   3.063
 73.000  19.000   7.483   0.266   3.063
 74.000  19.000   7.478   0.323   3.060
 75.000  19.000   7.482   0.323   3.063
 76.000  19.000   7.487   0.266   3.066
 77.000  20.000   7.489   0.210   3.067
 78.000  20.000   7.483   0.266   3.063
 79.000  20.000   7.487   0.266   3.066
 80.000  20.000   7.493   0.210   3.070
 81.000  21.000   7.496   0.153   3.072
 82.000  21.000   7.489   0.210   3.067
 83.000  21.000   7.493   0.210   3.070
 84.000  21.000   7.500   0.153   3.075
 85.000  22.000   7.505   0.097   3.078
 86.000  22.000   7.496   0.153   3.072
 87.000  22.000   7.500   0.153   3.075
 88.000  22.000   7.509   0.097   3.081
 89.000  23.000   7.519   0.040   3.088
 90.000  23.000   7.505   0.097   3.078
 91.000  23.000   7.509   0.097   3.081
 92.000  23.000   7.523   0.040   3.091
 93.000  24.000   7.522   0.030   3.090
 94.000  24.000   7.519   0.040   3.088
 95.000  24.000   7.523   0.040   3.091
 96.000  24.000   7.526   0.030   3.093
 97.000  25.000   7.528   0.030   3.082
 98.000  25.000   7.522   0.030   3.090
 99.000  25.000   7.526   0.030   3.093
100.000  25.000   7.532   0.030   3.085
101.000  26.000   7.549   0.030   3.050
102.000  26.000   7.528   0.030   3.082
