$
$ 2D experimental data array of the CIII 4650A
$ emission for DIIID shot 86575 at 1650ms - with a 
$ roughly 2cm square grid 
$
$ 50 cells over R =  1.0 to  2.0
$ 30 cells over Z = -1.4 to -0.8
$
$ SCALEF: = ????
$
TITLE: EXPT 2D CIII 4650A
DATA:  50  30 
1.02041    -0.800000   -3.14162e+06      
1.04082     -1.40000        0.00000      
1.04082     -1.37931        0.00000      
1.04082     -1.35862        0.00000      
1.04082     -1.33793        0.00000      
1.04082     -1.31724        0.00000      
1.04082     -1.29655       -48612.1      
1.04082     -1.27586    8.17626e+06      
1.04082     -1.25517   -1.09628e+08      
1.04082     -1.23448   -5.41645e+07      
1.04082     -1.21379    2.27424e+07      
1.04082     -1.19310   -4.91417e+07      
1.04082     -1.17241   -5.50264e+07      
1.04082     -1.15172   -6.34843e+07      
1.04082     -1.13103   -7.27340e+07      
1.04082     -1.11034   -3.64086e+06      
1.04082     -1.08966   -2.76440e+06      
1.04082     -1.06897    4.31257e+06      
1.04082     -1.04828        428646.      
1.04082     -1.02759       -601880.      
1.04082     -1.00690       -364408.      
1.04082    -0.986207    1.28608e+07      
1.04082    -0.965517   -1.58178e+06      
1.04082    -0.944828    1.59192e+06      
1.04082    -0.924138    1.65577e+06      
1.04082    -0.903448   -3.99392e+06      
1.04082    -0.882759    3.79744e+06      
1.04082    -0.862069        416839.      
1.04082    -0.841379    6.28618e+06      
1.04082    -0.820690   -6.31081e+06      
1.04082    -0.800000   -6.80735e+06      
1.06122     -1.40000        0.00000      
1.06122     -1.37931        0.00000      
1.06122     -1.35862        0.00000      
1.06122     -1.33793        0.00000      
1.06122     -1.31724       -50508.8      
1.06122     -1.29655   -2.05952e+07      
1.06122     -1.27586    2.44642e+07      
1.06122     -1.25517   -9.36306e+07      
1.06122     -1.23448   -1.06354e+07      
1.06122     -1.21379    3.29039e+07      
1.06122     -1.19310   -2.62341e+07      
1.06122     -1.17241   -1.09919e+08      
1.06122     -1.15172   -8.65384e+07      
1.06122     -1.13103   -7.96161e+07      
1.06122     -1.11034   -1.69065e+06      
1.06122     -1.08966   -3.20002e+06      
1.06122     -1.06897   -3.37516e+06      
1.06122     -1.04828   -1.07791e+07      
1.06122     -1.02759    4.34142e+06      
1.06122     -1.00690       -951569.      
1.06122    -0.986207       -9923.38      
1.06122    -0.965517    4.24064e+06      
1.06122    -0.944828   -2.82529e+06      
1.06122    -0.924138   -5.98245e+06      
1.06122    -0.903448   -1.56314e+06      
1.06122    -0.882759       -105909.      
1.06122    -0.862069    6.37216e+06      
1.06122    -0.841379   -1.53129e+06      
1.06122    -0.820690   -5.36879e+06      
1.06122    -0.800000   -9.82432e+06      
1.08163     -1.40000        0.00000      
1.08163     -1.37931        0.00000      
1.08163     -1.35862        0.00000      
1.08163     -1.33793       -50095.5      
1.08163     -1.31724   -4.21149e+07      
1.08163     -1.29655    2.88178e+07      
1.08163     -1.27586   -5.49809e+06      
1.08163     -1.25517   -7.48797e+07      
1.08163     -1.23448   -1.81483e+07      
1.08163     -1.21379   -4.04453e+06      
1.08163     -1.19310   -4.94198e+07      
1.08163     -1.17241   -9.00506e+07      
1.08163     -1.15172   -8.46619e+07      
1.08163     -1.13103   -9.54725e+07      
1.08163     -1.11034    1.18706e+07      
1.08163     -1.08966   -1.21900e+07      
1.08163     -1.06897   -3.96124e+06      
1.08163     -1.04828   -4.24005e+06      
1.08163     -1.02759   -1.13792e+07      
1.08163     -1.00690   -7.37266e+06      
1.08163    -0.986207   -4.06246e+06      
1.08163    -0.965517   -3.19636e+06      
1.08163    -0.944828   -4.33057e+06      
1.08163    -0.924138        491479.      
1.08163    -0.903448    2.23770e+06      
1.08163    -0.882759       -561610.      
1.08163    -0.862069    4.40801e+06      
1.08163    -0.841379   -6.23752e+06      
1.08163    -0.820690   -3.51210e+06      
1.08163    -0.800000   -4.59419e+06      
1.10204     -1.40000        0.00000      
1.10204     -1.37931        0.00000      
1.10204     -1.35862       -9472.35      
1.10204     -1.33793   -4.19530e+07      
1.10204     -1.31724   -3.92544e+07      
1.10204     -1.29655    7.22743e+07      
1.10204     -1.27586   -3.05748e+07      
1.10204     -1.25517   -7.04754e+07      
1.10204     -1.23448   -1.30269e+07      
1.10204     -1.21379        707222.      
1.10204     -1.19310   -6.86446e+06      
1.10204     -1.17241   -8.67268e+07      
1.10204     -1.15172   -9.50255e+07      
1.10204     -1.13103   -7.63006e+07      
1.10204     -1.11034   -4.69699e+06      
1.10204     -1.08966   -5.01090e+06      
1.10204     -1.06897   -6.29556e+06      
1.10204     -1.04828    6.96541e+06      
1.10204     -1.02759   -6.17632e+06      
1.10204     -1.00690    2.46498e+06      
