3341, 0.70, 15.0, 0.013,  0.78, 25.5, 0.014,  0.87, 35.9, 0.015,  0.4, 55.3, 0.067,  0.30, 74.6, 0.116
3674, 0.89, 9.8, 0.064,   0.82, 17.7, 0.081,  0.75, 25.6, 0.097,  0.37, 49.6, 0.401,  0.28, 73.5, 0.704
4098, 0.82, 11.6, 0.093,  0.75, 21.2, 0.109,  0.69, 30.7, 0.127,  0.36, 52.8, 0.491,  0.28, 74.9, 0.855
4358, 0.76, 10.4, 0.136,  0.72, 20.2, 0.157,  0.67, 30.0, 0.179,  0.36, 51.7, 0.639,  0.28, 73.4, 1.099
4916, 0.65, 10.0, 0.176,  0.67, 18.2, 0.169,  0.70, 26.4, 0.162,  0.34, 51.5, 0.730,  0.27, 76.5, 1.298
5456, 0.61, 7.9, 0.187,   0.67, 16.6, 0.174,  0.72, 25.2, 0.160,  0.34, 50.9, 0.873,  0.28, 76.5, 1.585
5770, 0.60, 6.8, 0.146,   0.67, 16.1, 0.139,  0.74, 25.4, 0.132,  0.33, 50.7, 0.881,  0.27, 76.0, 1.630
6908, 0.72, 5.2, 0.129,   0.77, 13.4, 0.139,  0.83, 21.5, 0.150,  0.31, 50.1, 0.988,  0.22, 78.7, 1.826
7729, 0.73, 6.1, 0.134,   0.73, 16.0, 0.137,  0.73, 26.0, 0.140,  0.29, 51.5, 0.781,  0.20, 77.0, 1.422
