* BM10 3D backspace test			ITER-wall_v15_10mm_gaps.xls
2.0			
{10 SB}			
5.809723	4.626843	6.659105	3.972458
5.821858	4.649801	6.675327	3.992735
5.879621	4.759078	6.752546	4.089251
5.930587	4.855500	6.820680	4.174412
5.938354	4.870193	6.831062	4.187389
{10 END}			
6.871943	4.238486	5.968934	4.928045
{10 SIDE 09}			
5.750019	4.513892	5.809723	4.626843
5.809723	4.626843	5.821858	4.649801
5.821858	4.649801	5.879621	4.759078
5.879621	4.759078	5.930587	4.855500
5.930587	4.855500	5.938354	4.870193
5.938354	4.870193	5.968934	4.928045
{10 SIDE 11}			
6.579291	3.872698	6.659105	3.972458
6.659105	3.972458	6.675327	3.992735
6.675327	3.992735	6.752546	4.089251
6.752546	4.089251	6.820680	4.174412
6.820680	4.174412	6.831062	4.187389
6.831062	4.187389	6.871943	4.238486
{10 GAP 11}			
6.659105	3.972458	6.666956	3.966009
6.675327	3.992735	6.683178	3.986286
6.752546	4.089251	6.760397	4.082802
6.820680	4.174412	6.828531	4.167963
6.831062	4.187389	6.838913	4.180940
{10 END 11}			
6.871943	4.238486	6.879794	4.232037
