* BM12 3D backspace test			ITER-wall_v15_10mm_gaps.xls
2.0			
{12 SB}			
7.495108	3.241404	8.001941	2.517846
7.514100	3.259113	8.023553	2.532241
7.604501	3.343409	8.126425	2.600764
7.684266	3.417788	8.217195	2.661225
7.696420	3.429122	8.231027	2.670439
{12 END}			
8.285488	2.706715	7.744280	3.473749
{12 SIDE 11}			
7.401669	3.154274	7.495108	3.241404
7.495108	3.241404	7.514100	3.259113
7.514100	3.259113	7.604501	3.343409
7.604501	3.343409	7.684266	3.417788
7.684266	3.417788	7.696420	3.429122
7.696420	3.429122	7.744280	3.473749
{12 SIDE 13}			
7.895611	2.447019	8.001941	2.517846
8.001941	2.517846	8.023553	2.532241
8.023553	2.532241	8.126425	2.600764
8.126425	2.600764	8.217195	2.661225
8.217195	2.661225	8.231027	2.670439
8.231027	2.670439	8.285488	2.706715
{12 GAP 13}			
8.001941	2.517846	8.006917	2.509206
8.023553	2.532241	8.028529	2.523601
8.126425	2.600764	8.131402	2.592124
8.217195	2.661225	8.222171	2.652586
8.231027	2.670439	8.236003	2.661799
{12 END 13}			
8.285488	2.706715	8.290465	2.698075
