* BM14 3D backspace test			ITER-wall_v15_10mm_gaps.xls
2.0			
{14 SB}			
8.378765	1.710884	8.510125	0.631535
8.402981	1.720258	8.536082	0.632270
8.518252	1.764877	8.659638	0.635767
8.619961	1.804246	8.768657	0.638852
8.635459	1.810246	8.785269	0.639322
{14 END}			
8.850681	0.641174	8.696485	1.833867
{14 SIDE 13}			
8.259620	1.664765	8.378765	1.710884
8.378765	1.710884	8.402981	1.720258
8.402981	1.720258	8.518252	1.764877
8.518252	1.764877	8.619961	1.804246
8.619961	1.804246	8.635459	1.810246
8.635459	1.810246	8.696485	1.833867
{14 SIDE 15}			
8.382417	0.627921	8.510125	0.631535
8.510125	0.631535	8.536082	0.632270
8.536082	0.632270	8.659638	0.635767
8.659638	0.635767	8.768657	0.638852
8.768657	0.638852	8.785269	0.639322
8.785269	0.639322	8.850681	0.641174
{14 GAP 15}			
8.510125	0.631535	8.510295	0.621665
8.536082	0.632270	8.536252	0.622400
8.659638	0.635767	8.659807	0.625897
8.768657	0.638852	8.768826	0.628982
8.785269	0.639322	8.785438	0.629452
{14 END 15}			
8.850681	0.641174	8.850850	0.631304
{15 SIDE 14}			
8.382586	0.618051	8.510295	0.621665
8.510295	0.621665	8.536252	0.622400
8.536252	0.622400	8.659807	0.625897
8.659807	0.625897	8.768826	0.628982
8.768826	0.628982	8.785438	0.629452
8.785438	0.629452	8.850850	0.631304
