* BM13 3D backspace test			ITER-wall_v15_30mm_gaps.xls
2.0			
{13 SB}			
8.009134	2.502973	8.372633	1.727528
8.030310	2.518003	8.397012	1.736472
8.131107	2.589544	8.513054	1.779042
8.220045	2.652668	8.615445	1.816605
8.233598	2.662287	8.631047	1.822329
{13 END}			
8.692481	1.844866	8.286960	2.700162
{13 SIDE 12}			
7.904950	2.429027	8.009134	2.502973
8.009134	2.502973	8.030310	2.518003
8.030310	2.518003	8.131107	2.589544
8.131107	2.589544	8.220045	2.652668
8.220045	2.652668	8.233598	2.662287
8.233598	2.662287	8.286960	2.700162
{13 SIDE 14}			
8.252691	1.683526	8.372633	1.727528
8.372633	1.727528	8.397012	1.736472
8.397012	1.736472	8.513054	1.779042
8.513054	1.779042	8.615445	1.816605
8.615445	1.816605	8.631047	1.822329
8.631047	1.822329	8.692481	1.844866
{13 GAP 14}			
8.372633	1.727528	8.380741	1.698820
8.397012	1.736472	8.405120	1.707764
8.513054	1.779042	8.521162	1.750334
8.615445	1.816605	8.623552	1.787897
8.631047	1.822329	8.639155	1.793621
{13 END 14}			
8.692481	1.844866	8.700589	1.816158
