* BM12 3D backspace test			ITER-wall_v15_30mm_gaps.xls
2.0			
{12 SB}			
7.499342	3.234790	7.993998	2.529268
7.518036	3.252813	8.015173	2.544297
7.607019	3.338604	8.115970	2.615838
7.685534	3.414302	8.204908	2.678963
7.697498	3.425837	8.218461	2.688582
{12 END}			
8.271824	2.726457	7.744607	3.471255
{12 SIDE 11}			
7.407367	3.146115	7.499342	3.234790
7.499342	3.234790	7.518036	3.252813
7.518036	3.252813	7.607019	3.338604
7.607019	3.338604	7.685534	3.414302
7.685534	3.414302	7.697498	3.425837
7.697498	3.425837	7.744607	3.471255
{12 SIDE 13}			
7.889813	2.455322	7.993998	2.529268
7.993998	2.529268	8.015173	2.544297
8.015173	2.544297	8.115970	2.615838
8.115970	2.615838	8.204908	2.678963
8.204908	2.678963	8.218461	2.688582
8.218461	2.688582	8.271824	2.726457
{12 GAP 13}			
7.993998	2.529268	8.009134	2.502973
8.015173	2.544297	8.030310	2.518003
8.115970	2.615838	8.131107	2.589544
8.204908	2.678963	8.220045	2.652668
8.218461	2.688582	8.233598	2.662287
{12 END 13}			
8.271824	2.726457	8.286960	2.700162
