* BM09 3D backspace test			ITER-wall_v15_30mm_gaps.xls
2.0			
{09 SIDE 10}			
5.730718	4.520222	5.788713	4.634060
5.788713	4.634060	5.800501	4.657198
5.800501	4.657198	5.856610	4.767333
5.856610	4.767333	5.906118	4.864512
5.906118	4.864512	5.913662	4.879320
5.913662	4.879320	5.943366	4.937627
{09 GAP 10}			
5.788713	4.634060	5.816136	4.621450
5.800501	4.657198	5.827924	4.644588
5.856610	4.767333	5.884033	4.754724
5.906118	4.864512	5.933541	4.851902
5.913662	4.879320	5.941085	4.866711
{09 END 10}			
5.943366	4.937627	5.970789	4.925018
