* BM09 3D backspace test			ITER-wall_v15_10mm_gaps.xls
2.0			
{09 SIDE 10}			
5.740906	4.518074	5.800610	4.631025
5.800610	4.631025	5.812745	4.653982
5.812745	4.653982	5.870507	4.763260
5.870507	4.763260	5.921474	4.859681
5.921474	4.859681	5.929241	4.874374
5.929241	4.874374	5.959821	4.932227
{09 GAP 10}			
5.800610	4.631025	5.809723	4.626843
5.812745	4.653982	5.821858	4.649801
5.870507	4.763260	5.879621	4.759078
5.921474	4.859681	5.930587	4.855500
5.929241	4.874374	5.938354	4.870193
{09 END 10}			
5.959821	4.932227	5.968934	4.928045
