* BM13 3D backspace test			ITER-wall_v15_10mm_gaps.xls
2.0			
{13 SB}			
8.006917	2.509206	8.375982	1.720756
8.028529	2.523601	8.400198	1.730130
8.131402	2.592124	8.515468	1.774749
8.222171	2.652586	8.617178	1.814119
8.236003	2.661799	8.632676	1.820118
{13 END}			
8.693701	1.843740	8.290465	2.698075
{13 SIDE 12}			
7.900587	2.438380	8.006917	2.509206
8.006917	2.509206	8.028529	2.523601
8.028529	2.523601	8.131402	2.592124
8.131402	2.592124	8.222171	2.652586
8.222171	2.652586	8.236003	2.661799
8.236003	2.661799	8.290465	2.698075
{13 SIDE 14}			
8.256837	1.674638	8.375982	1.720756
8.375982	1.720756	8.400198	1.730130
8.400198	1.730130	8.515468	1.774749
8.515468	1.774749	8.617178	1.814119
8.617178	1.814119	8.632676	1.820118
8.632676	1.820118	8.693701	1.843740
{13 GAP 14}			
8.375982	1.720756	8.378765	1.710884
8.400198	1.730130	8.402981	1.720258
8.515468	1.774749	8.518252	1.764877
8.617178	1.814119	8.619961	1.804246
8.632676	1.820118	8.635459	1.810246
{13 END 14}			
8.693701	1.843740	8.696485	1.833867
