* BM11 3D backspace test			ITER-wall_v15_10mm_gaps.xls
2.0			
{11 SB}			
6.666956	3.966009	7.488064	3.249253
6.683178	3.986286	7.507056	3.266963
6.760397	4.082802	7.597457	3.351259
6.828531	4.167963	7.677222	3.425638
6.838913	4.180940	7.689376	3.436971
{11 END}			
7.737236	3.481599	6.879794	4.232037
{11 SIDE 10}			
6.587142	3.866249	6.666956	3.966009
6.666956	3.966009	6.683178	3.986286
6.683178	3.986286	6.760397	4.082802
6.760397	4.082802	6.828531	4.167963
6.828531	4.167963	6.838913	4.180940
6.838913	4.180940	6.879794	4.232037
{11 SIDE 12}			
7.394625	3.162124	7.488064	3.249253
7.488064	3.249253	7.507056	3.266963
7.507056	3.266963	7.597457	3.351259
7.597457	3.351259	7.677222	3.425638
7.677222	3.425638	7.689376	3.436971
7.689376	3.436971	7.737236	3.481599
{11 GAP 12}			
7.488064	3.249253	7.495108	3.241404
7.507056	3.266963	7.514100	3.259113
7.597457	3.351259	7.604501	3.343409
7.677222	3.425638	7.684266	3.417788
7.689376	3.436971	7.696420	3.429122
{11 END 12}			
7.737236	3.481599	7.744280	3.473749
