* BM11 3D backspace test			ITER-wall_v15_30mm_gaps.xls
2.0			
{11 SB}			
6.681835	3.952788	7.479180	3.257268
6.700203	3.971143	7.497874	3.275291
6.787635	4.058514	7.586857	3.361082
6.864782	4.135606	7.665372	3.436780
6.876537	4.147353	7.677336	3.448315
{11 END}			
7.724445	3.493733	6.922825	4.193608
{11 SIDE 10}			
6.591463	3.862481	6.681835	3.952788
6.681835	3.952788	6.700203	3.971143
6.700203	3.971143	6.787635	4.058514
6.787635	4.058514	6.864782	4.135606
6.864782	4.135606	6.876537	4.147353
6.876537	4.147353	6.922825	4.193608
{11 SIDE 12}			
7.387206	3.168593	7.479180	3.257268
7.479180	3.257268	7.497874	3.275291
7.497874	3.275291	7.586857	3.361082
7.586857	3.361082	7.665372	3.436780
7.665372	3.436780	7.677336	3.448315
7.677336	3.448315	7.724445	3.493733
{11 GAP 12}			
7.479180	3.257268	7.499342	3.234790
7.497874	3.275291	7.518036	3.252813
7.586857	3.361082	7.607019	3.338604
7.665372	3.436780	7.685534	3.414302
7.677336	3.448315	7.697498	3.425837
{11 END 12}			
7.724445	3.493733	7.744607	3.471255
