* BM14 3D backspace test			ITER-wall_v15_30mm_gaps.xls
2.0			
{14 SB}			
8.380741	1.698820	8.508910	0.641796
8.405120	1.707764	8.534867	0.642531
8.521162	1.750334	8.658422	0.646027
8.623552	1.787897	8.767442	0.649113
8.639155	1.793621	8.784054	0.649583
{14 END}			
8.849466	0.651434	8.700589	1.816158
{14 SIDE 13}			
8.260798	1.654819	8.380741	1.698820
8.380741	1.698820	8.405120	1.707764
8.405120	1.707764	8.521162	1.750334
8.521162	1.750334	8.623552	1.787897
8.623552	1.787897	8.639155	1.793621
8.639155	1.793621	8.700589	1.816158
{14 SIDE 15}			
8.381202	0.638182	8.508910	0.641796
8.508910	0.641796	8.534867	0.642531
8.534867	0.642531	8.658422	0.646027
8.658422	0.646027	8.767442	0.649113
8.767442	0.649113	8.784054	0.649583
8.784054	0.649583	8.849466	0.651434
{14 GAP 15}			
8.508910	0.641796	8.509432	0.611346
8.534867	0.642531	8.535389	0.612081
8.658422	0.646027	8.658944	0.615577
8.767442	0.649113	8.767964	0.618663
8.784054	0.649583	8.784576	0.619133
{14 END 15}			
8.849466	0.651434	8.849988	0.620984
{15 SIDE 14}			
8.381724	0.607732	8.509432	0.611346
8.509432	0.611346	8.535389	0.612081
8.535389	0.612081	8.658944	0.615577
8.658944	0.615577	8.767964	0.618663
8.767964	0.618663	8.784576	0.619133
8.784576	0.619133	8.849988	0.620984
