{NUMBER OF COLUMNS}       5
*
* SHOTS  =   25028
* TIMES  =     0.300000 to     0.324000 s
*
*       PSIn           r           z        dens          Te
*                    (m)         (m)       (m-3)        (eV)
{DATA LIST}
    0.392347    0.706196    0.000000    5.67E+19      310.37
    0.399076    0.700696    0.000000    6.26E+19      272.84
    0.407237    0.694751    0.000000    5.96E+19      262.05
    0.408278    0.693562    0.000000    5.22E+19      276.32
    0.409064    0.697129    0.000000    5.61E+19      265.63
    0.410733    0.700102    0.000000    6.56E+19      258.66
    0.411466    0.695940    0.000000    5.39E+19      285.64
    0.418302    0.690561    0.000000    6.21E+19      272.03
    0.427056    0.684466    0.000000    6.08E+19      259.60
    0.428217    0.683246    0.000000    5.79E+19      248.64
    0.428610    0.686904    0.000000    6.05E+19      274.78
    0.429972    0.689953    0.000000    6.47E+19      283.83
    0.431140    0.685684    0.000000    5.73E+19      273.20
    0.438088    0.680427    0.000000    6.07E+19      262.89
    0.447393    0.674180    0.000000    5.77E+19      246.41
    0.448665    0.672930    0.000000    5.47E+19      247.92
    0.448707    0.676679    0.000000    5.84E+19      262.39
    0.449770    0.679803    0.000000    5.97E+19      267.20
    0.451347    0.675429    0.000000    5.32E+19      271.01
    0.458332    0.670293    0.000000    6.39E+19      259.08
    0.468125    0.663894    0.000000    6.09E+19      251.63
    0.469231    0.666453    0.000000    5.83E+19      250.54
    0.469509    0.662614    0.000000    5.57E+19      248.06
    0.470013    0.669654    0.000000    6.36E+19      252.97
    0.471962    0.665174    0.000000    5.59E+19      267.64
    0.478956    0.660159    0.000000    6.50E+19      238.92
    0.489296    0.653608    0.000000    5.93E+19      224.57
    0.490175    0.656228    0.000000    5.94E+19      248.44
    0.490637    0.659504    0.000000    6.63E+19      257.07
    0.490807    0.652297    0.000000    5.47E+19      265.01
    0.493013    0.654918    0.000000    5.37E+19      252.30
    0.500022    0.650024    0.000000    6.20E+19      225.07
    0.510851    0.643321    0.000000    5.69E+19      229.21
    0.511541    0.646003    0.000000    5.73E+19      226.94
    0.511694    0.649354    0.000000    6.23E+19      229.54
    0.512478    0.641980    0.000000    5.38E+19      239.03
    0.514467    0.644662    0.000000    5.37E+19      259.83
    0.521416    0.639890    0.000000    6.24E+19      227.60
    0.532662    0.633035    0.000000    6.02E+19      222.02
    0.533067    0.639205    0.000000    6.47E+19      244.99
    0.533198    0.635777    0.000000    5.58E+19      232.72
    0.534407    0.631663    0.000000    5.34E+19      226.84
    0.536192    0.634406    0.000000    5.35E+19      239.77
    0.543059    0.629756    0.000000    6.00E+19      213.48
    0.554687    0.629056    0.000000    5.71E+19      211.97
    0.554783    0.622749    0.000000    5.67E+19      209.04
    0.555146    0.625552    0.000000    5.46E+19      213.03
    0.556653    0.621348    0.000000    5.14E+19      212.08
    0.558222    0.624150    0.000000    5.12E+19      221.46
    0.565013    0.619622    0.000000    5.81E+19      195.36
    0.576612    0.618906    0.000000    5.70E+19      198.45
    0.577146    0.612463    0.000000    5.27E+19      185.44
    0.577381    0.615326    0.000000    5.51E+19      209.37
    0.579133    0.611031    0.000000    5.15E+19      191.61
    0.580514    0.613895    0.000000    4.89E+19      222.21
    0.587164    0.609488    0.000000    5.42E+19      173.63
    0.598719    0.608757    0.000000    5.41E+19      185.58
    0.599628    0.602177    0.000000    5.17E+19      171.75
    0.599765    0.605101    0.000000    5.15E+19      189.32
    0.601731    0.600715    0.000000    4.94E+19      175.03
    0.602940    0.603639    0.000000    4.72E+19      189.11
    0.609431    0.599354    0.000000    5.01E+19      168.81
    0.620941    0.598607    0.000000    5.18E+19      177.72
    0.622286    0.591891    0.000000    4.65E+19      162.37
    0.622307    0.594877    0.000000    4.84E+19      168.15
    0.624515    0.590399    0.000000    4.57E+19      163.08
    0.625536    0.593384    0.000000    4.47E+19      170.35
    0.631878    0.589219    0.000000    4.89E+19      147.79
