{NUMBER OF COLUMNS}       5
*
* SHOTS  =   25028
* TIMES  =     0.300000 to     0.324000 s
*
*       PSIn           r           z        dens          Te
*                    (m)         (m)       (m-3)        (eV)
{DATA LIST}
    0.166363    0.920191    0.000000    6.88E+19      384.53
    0.166619    0.930470    0.000000    6.79E+19      356.75
    0.166854    0.920830    0.000000    6.70E+19      415.45
    0.167147    0.931091    0.000000    6.93E+19      436.01
    0.167194    0.909912    0.000000    6.69E+19      355.18
    0.167648    0.910568    0.000000    6.92E+19      416.78
    0.167990    0.940750    0.000000    6.83E+19      360.63
    0.168553    0.941354    0.000000    7.02E+19      424.43
    0.169521    0.900307    0.000000    6.88E+19      410.13
    0.170197    0.924025    0.000000    7.07E+19      412.60
    0.170471    0.951028    0.000000    6.66E+19      342.25
    0.170608    0.913848    0.000000    6.96E+19      413.26
    0.170863    0.934201    0.000000    7.07E+19      426.25
    0.171067    0.951616    0.000000    7.12E+19      418.05
    0.172079    0.903672    0.000000    7.07E+19      428.98
    0.172629    0.944377    0.000000    7.05E+19      412.93
    0.174066    0.961307    0.000000    6.96E+19      369.98
    0.174694    0.961877    0.000000    6.97E+19      408.03
    0.175077    0.921469    0.000000    6.91E+19      382.74
    0.175483    0.954554    0.000000    7.06E+19      419.49
    0.175557    0.931714    0.000000    6.97E+19      367.74
    0.175574    0.922107    0.000000    6.90E+19      387.70
    0.175684    0.911225    0.000000    6.74E+19      379.61
    0.176074    0.911881    0.000000    6.69E+19      383.99
    0.176159    0.932335    0.000000    6.92E+19      380.79
    0.177151    0.941959    0.000000    7.09E+19      365.86
    0.177369    0.900980    0.000000    6.87E+19      359.28
    0.177646    0.901653    0.000000    6.72E+19      378.50
    0.177854    0.942564    0.000000    6.81E+19      382.39
    0.178793    0.971585    0.000000    6.99E+19      365.28
    0.179439    0.964731    0.000000    7.35E+19      416.84
    0.179452    0.972138    0.000000    6.95E+19      409.00
    0.179851    0.952203    0.000000    7.33E+19      381.81
    0.180651    0.952791    0.000000    7.17E+19      395.46
    0.181193    0.923705    0.000000    7.30E+19      377.62
    0.181617    0.913520    0.000000    7.22E+19      385.13
    0.181851    0.933889    0.000000    7.44E+19      376.44
    0.183102    0.903335    0.000000    7.15E+19      369.35
    0.183613    0.944076    0.000000    7.16E+19      367.80
    0.183664    0.962447    0.000000    7.35E+19      359.45
    0.184513    0.974907    0.000000    6.93E+19      413.74
    0.184559    0.963019    0.000000    6.94E+19      372.87
    0.184650    0.981863    0.000000    6.80E+19      361.59
    0.185337    0.982400    0.000000    6.83E+19      387.13
    0.186467    0.954260    0.000000    7.37E+19      405.75
    0.188609    0.972692    0.000000    7.14E+19      375.38
    0.189594    0.973245    0.000000    7.05E+19      370.81
    0.190427    0.964445    0.000000    7.24E+19      352.14
    0.190695    0.985083    0.000000    6.96E+19      380.21
    0.191639    0.992141    0.000000    6.82E+19      379.93
    0.192346    0.992654    0.000000    6.73E+19      410.22
    0.194680    0.982936    0.000000    7.20E+19      362.64
    0.195509    0.974630    0.000000    7.22E+19      364.36
    0.195752    0.983473    0.000000    6.91E+19      371.26
    0.197995    0.995259    0.000000    6.79E+19      405.55
    0.199771    1.002420    0.000000    6.33E+19      373.41
    0.200512    1.002930    0.000000    6.32E+19      414.46
    0.201704    0.984815    0.000000    7.07E+19      361.45
    0.201879    0.993177    0.000000    6.93E+19      389.15
    0.203039    0.993700    0.000000    6.73E+19      383.61
    0.206419    1.005430    0.000000    6.44E+19      394.78
    0.209014    0.994992    0.000000    7.12E+19      358.30
    0.209045    1.012700    0.000000    6.75E+19      394.51
    0.209804    1.013190    0.000000    6.49E+19      393.52
    0.210230    1.003430    0.000000    6.70E+19      384.53
    0.211467    1.003930    0.000000    6.54E+19      373.33
    0.215974    1.015610    0.000000    6.74E+19      403.11
    0.217464    1.005180    0.000000    6.63E+19      370.99
    0.219461    1.022980    0.000000    6.81E+19      419.11
    0.219708    1.013670    0.000000    6.73E+19      356.85
    0.220233    1.023450    0.000000    6.32E+19      401.15
    0.221021    1.014150    0.000000    6.66E+19      368.80
    0.226667    1.025800    0.000000    6.92E+19      388.05
    0.227043    1.015370    0.000000    6.80E+19      363.46
    0.230336    1.023920    0.000000    6.66E+19      389.34
    0.231022    1.033260    0.000000    6.75E+19      409.53
    0.231734    1.024390    0.000000    6.61E+19      352.18
    0.231803    1.033710    0.000000    6.50E+19      404.59
    0.237753    1.025560    0.000000    6.80E+19      359.83
    0.238458    1.035960    0.000000    6.98E+19      405.52
    0.242083    1.034150    0.000000    7.01E+19      384.92
    0.243567    1.034610    0.000000    6.66E+19      370.91
    0.243729    1.043540    0.000000    6.69E+19      423.04
    0.244514    1.043970    0.000000    6.58E+19      399.17
    0.249585    1.035740    0.000000    6.94E+19      386.97
    0.251402    1.046140    0.000000    6.80E+19      407.90
    0.254997    1.044400    0.000000    6.72E+19      360.32
    0.256555    1.044840    0.000000    6.74E+19      355.40
    0.257577    1.053820    0.000000    6.97E+19      420.74
    0.258360    1.054230    0.000000    6.76E+19      382.94
    0.262549    1.045920    0.000000    6.71E+19      378.50
    0.265473    1.056320    0.000000    6.82E+19      377.27
    0.269066    1.054660    0.000000    6.91E+19      370.23
    0.270682    1.055070    0.000000    6.71E+19      390.85
    0.272546    1.064090    0.000000    6.98E+19      394.07
    0.273337    1.064490    0.000000    6.46E+19      356.33
    0.276668    1.056120    0.000000    6.45E+19      391.96
    0.280656    1.066490    0.000000    7.08E+19      364.00
    0.284226    1.064890    0.000000    6.90E+19      361.73
    0.285929    1.065290    0.000000    6.84E+19      367.27
    0.288672    1.074370    0.000000    6.74E+19      371.88
    0.289451    1.074750    0.000000    6.58E+19      334.45
    0.291871    1.066290    0.000000    6.94E+19      380.16
    0.296983    1.076670    0.000000    6.85E+19      321.23
    0.300557    1.075140    0.000000    7.01E+19      375.74
    0.302334    1.075520    0.000000    6.86E+19      380.20
    0.305928    1.084650    0.000000    6.62E+19      363.43
    0.306705    1.085020    0.000000    6.84E+19      348.47
    0.308233    1.076480    0.000000    6.87E+19      390.05
    0.314427    1.086850    0.000000    6.56E+19      341.63
    0.317997    1.085380    0.000000    6.84E+19      366.03
    0.319866    1.085750    0.000000    6.59E+19      369.26
    0.324301    1.094930    0.000000    6.82E+19      335.84
    0.325051    1.095280    0.000000    6.61E+19      338.38
    0.325694    1.086660    0.000000    6.59E+19      382.97
    0.332962    1.097020    0.000000    6.80E+19      337.99
    0.336568    1.095630    0.000000    6.93E+19      373.25
    0.338516    1.095980    0.000000    6.97E+19      334.66
    0.343782    1.105200    0.000000    6.55E+19      327.41
    0.344297    1.096860    0.000000    6.65E+19      340.76
    0.344518    1.105540    0.000000    6.62E+19      346.77
    0.352633    1.107200    0.000000    6.40E+19      302.92
    0.356227    1.105860    0.000000    6.77E+19      379.34
    0.358276    1.106200    0.000000    6.62E+19      328.87
    0.363961    1.107030    0.000000    6.45E+19      330.05
    0.364386    1.115480    0.000000    6.45E+19      298.75
    0.365080    1.115800    0.000000    6.41E+19      324.62
    0.373395    1.117380    0.000000    6.67E+19      279.74
    0.377043    1.116120    0.000000    6.75E+19      338.37
