# ITER#1538 (F57 ref-20-NF-C0, tau=0.18e-6, ntime=150)  - 123.6 ms
# parallel velocity (up) (m.s-1)
   ix   iy      x           y           z01           z02           z03           z04           z05           z06           z07           z08           z09
    1    1  4.1805E+03 -3.8836E+03 -2.269048E+03 -2.270307E+03 -2.269682E+03 -2.264911E+03 -2.268892E+03 -2.269003E+03 -2.268965E+03 -2.268927E+03 -2.268896E+03
    2    1  4.1824E+03 -3.8828E+03 -1.229350E+03 -1.225259E+03 -1.227062E+03 -1.214135E+03 -1.224579E+03 -1.225910E+03 -1.226295E+03 -1.226439E+03 -1.226508E+03
    3    1  4.1844E+03 -3.8820E+03 -2.388588E+02 -2.255755E+02 -2.321099E+02 -2.128516E+02 -2.282499E+02 -2.313018E+02 -2.323953E+02 -2.328664E+02 -2.331457E+02
    4    1  4.1869E+03 -3.8810E+03 -4.926207E+02 -4.813064E+02 -4.873311E+02 -4.696317E+02 -4.840259E+02 -4.867560E+02 -4.877292E+02 -4.881513E+02 -4.884042E+02
    5    1  4.1905E+03 -3.8796E+03 -3.479700E+02 -3.474134E+02 -3.475342E+02 -3.452454E+02 -3.473589E+02 -3.474012E+02 -3.473749E+02 -3.473474E+02 -3.473308E+02
    6    1  4.1960E+03 -3.8775E+03 -6.541751E+01 -6.792042E+01 -6.618501E+01 -6.986319E+01 -6.712640E+01 -6.627255E+01 -6.592114E+01 -6.574289E+01 -6.563906E+01
    7    1  4.2042E+03 -3.8742E+03 -3.265876E+02 -3.283850E+02 -3.271541E+02 -3.248183E+02 -3.281019E+02 -3.272567E+02 -3.267800E+02 -3.265142E+02 -3.263541E+02
    8    1  4.2161E+03 -3.8696E+03 -1.325608E+02 -1.847029E+02 -1.490658E+02 -2.554123E+02 -1.686915E+02 -1.518992E+02 -1.461213E+02 -1.434222E+02 -1.419405E+02
    9    1  4.2326E+03 -3.8631E+03 -6.444991E+02 -7.935230E+02 -6.767991E+02 -1.005765E+03 -7.371560E+02 -6.844679E+02 -6.701878E+02 -6.648787E+02 -6.624659E+02
   10    1  4.2548E+03 -3.8546E+03 -2.015357E+03 -2.011657E+03 -1.976743E+03 -2.120821E+03 -1.987844E+03 -1.977220E+03 -1.983364E+03 -1.989154E+03 -1.993399E+03
   11    1  4.2836E+03 -3.8436E+03 -2.801215E+03 -2.585994E+03 -2.708060E+03 -2.524772E+03 -2.629957E+03 -2.697794E+03 -2.731126E+03 -2.747663E+03 -2.756462E+03
   12    1  4.3204E+03 -3.8299E+03 -2.702723E+03 -2.518732E+03 -2.634808E+03 -2.522401E+03 -2.558665E+03 -2.626774E+03 -2.660747E+03 -2.675935E+03 -2.682654E+03
   13    1  4.3667E+03 -3.8129E+03 -2.422278E+03 -2.491915E+03 -2.439016E+03 -2.558678E+03 -2.477981E+03 -2.446838E+03 -2.448967E+03 -2.453410E+03 -2.454855E+03
   14    1  4.4249E+03 -3.7925E+03 -2.517676E+03 -2.953290E+03 -2.852845E+03 -2.881684E+03 -2.974849E+03 -2.884492E+03 -2.807002E+03 -2.754292E+03 -2.717113E+03
   15    1  4.4971E+03 -3.7686E+03 -2.333922E+03 -2.965449E+03 -2.979809E+03 -2.817589E+03 -3.049071E+03 -3.015800E+03 -2.925580E+03 -2.829933E+03 -2.746526E+03
   16    1  4.5842E+03 -3.7423E+03 -1.584541E+03 -1.954702E+03 -1.978547E+03 -1.956102E+03 -2.029939E+03 -2.014963E+03 -1.971806E+03 -1.910087E+03 -1.850765E+03
   17    1  4.6845E+03 -3.7170E+03 -7.550302E+02 -1.202891E+03 -1.104252E+03 -1.291938E+03 -1.304449E+03 -1.189344E+03 -1.104406E+03 -1.045843E+03 -1.006139E+03
   18    1  4.7929E+03 -3.6989E+03 -1.765166E+03 -4.829411E+02 -3.343240E+02 -5.314712E+02 -4.847136E+02 -4.030255E+02 -3.279006E+02 -3.055187E+02 -3.006263E+02
   19    1  4.8964E+03 -3.6959E+03 -2.068281E+03  3.699194E+02  3.639288E+02  2.403478E+02  3.501017E+02  3.132689E+02  3.235091E+02  3.127953E+02  2.993936E+02
   20    1  4.9755E+03 -3.7077E+03  3.872982E+03  5.599488E+02  4.277976E+02  2.544135E+02  4.221579E+02  3.440686E+02  2.865553E+02  3.041638E+02  3.526558E+02
